イベント曲名	ミライコンパス	
期間	2023/03/21 〜 2023/03/30	
初日1001位	2140553	
最終5001位	2130979	
#グラフ用	214.0553	0
#グラフ用	214.0553	1000
#グラフ用	213.0979	0
#グラフ用	213.0979	1000
スコア(万点)	順位	人数
	0	
250	11	11
249	16	5
248	19	3
247	28	9
246	37	9
245	48	11
244	63	15
243	85	22
242	115	30
241	141	26
240	172	31
239	227	55
238	307	80
237	425	118
236	632	207
235	871	239
234	1143	272
233	1420	277
232	1679	259
231	1916	237
230	2156	240
229	2372	216
228	2583	211
227	2820	237
226	3035	215
225	3265	230
224	3468	203
223	3632	164
222	3767	135
221	3909	142
220	4019	110
219	4165	146
218	4284	119
217	4437	153
216	4574	137
215	4708	134
214	4859	151
213	5017	158
212	5241	224
211	5513	272
210	5894	381
209	6313	419
208	6798	485
207	7242	444
206	7656	414
205	8038	382
204	8445	407
203	8804	359
202	9128	324
201	9423	295
200	9723	300
199	10033	310
