イベント曲名	さやけき花の生命に	
期間	2023/04/02 〜 2023/04/10	
初日1001位	1651873	
最終5001位	1567343	
#グラフ用	165.1873	0
#グラフ用	165.1873	1000
#グラフ用	156.7343	0
#グラフ用	156.7343	1000
スコア(万点)	順位	人数
	0	
187	1	1
186	6	5
185	12	6
184	20	8
183	32	12
182	61	29
181	98	37
180	126	28
179	156	30
178	193	37
177	220	27
176	263	43
175	306	43
174	360	54
173	426	66
172	539	113
171	686	147
170	890	204
169	1109	219
168	1342	233
167	1641	299
166	2012	371
165	2347	335
164	2713	366
163	3073	360
162	3390	317
161	3703	313
160	3980	277
159	4282	302
158	4614	332
157	4927	313
156	5191	264
155	5440	249
154	5686	246
153	5947	261
152	6232	285
151	6535	303
150	6884	349
149	7206	322
148	7558	352
147	7920	362
146	8280	360
145	8682	402
144	9086	404
143	9432	346
142	9780	348
141	10149	369
140	10465	316
