イベント曲名	Shine In The Sky☆	
期間	2023/04/13 〜 2023/04/21	
初日1001位	2082504	
最終5001位	2082115	
#グラフ用	208.2504	0
#グラフ用	208.2504	1000
#グラフ用	208.2115	0
#グラフ用	208.2115	1000
#以下のデータは(採取データをなくしたので)グラフ画像からの推定で不正確です
スコア(万点)	順位	人数
	18	
250	29	11
249	45	16
248	58	13
247	76	18
246	89	13
245	98	9
244	107	9
243	123	16
242	129	6
241	139	10
240	153	14
239	162	9
238	201	39
237	275	74
236	358	83
235	472	114
234	576	104
233	672	96
232	750	78
231	810	60
230	875	65
229	922	47
228	992	70
227	1066	74
226	1162	96
225	1273	111
224	1402	129
223	1516	114
222	1619	103
221	1812	193
220	2036	224
219	2347	311
218	2649	302
217	2909	260
216	3109	200
215	3315	206
214	3493	178
213	3697	204
212	3980	283
211	4281	301
210	4582	301
209	4829	247
208	5045	216
207	5274	229
206	5524	250
205	5776	252
204	6021	245
203	6245	224
202	6547	302
201	6881	334
200	7319	438
199	7695	376
198	8047	352
197	8312	265
196	8547	235
195	8802	255
194	9028	226
193	9280	252
192	9530	250
191	9805	275
190	10089	284
