イベント曲名	全開！ミラクルアドベンチャー！	
期間	2023/04/30 〜 2023/05/09	
501位	390823	
2001位	345975	
#グラフ用	39.0823	0
#グラフ用	39.0823	1000
#グラフ用	34.5975	0
#グラフ用	34.5975	1000
スコア(万点)	順位	人数
	0	
45.5	0	0
45	4	4
44.5	15	11
44	26	11
43.5	45	19
43	65	20
42.5	97	32
42	124	27
41.5	154	30
41	200	46
40.5	244	44
40	322	78
39.5	406	84
39	516	110
38.5	593	77
38	710	117
37.5	841	131
37	1006	165
36.5	1178	172
36	1422	244
35.5	1612	190
35	1848	236
34.5	2031	183
34	2127	96
33.5	2213	86
33	2297	84
32.5	2380	83
32	2465	85
31.5	2560	95
31	2661	101
30.5	2758	97
30	2895	137
29.5	3007	112
29	3155	148
28.5	3311	156
28	3488	177
27.5	3670	182
27	3884	214
26.5	4138	254
26	4463	325
25.5	4803	340
25	5144	341
24.5	5524	380
24	5891	367
23.5	6270	379
23	6558	288
22.5	6821	263
22	7042	221
21.5	7192	150
21	7335	143
20.5	7431	96
20	7508	77
19.5	7571	63
19	7622	51
18.5	7689	67
18	7731	42
17.5	7762	31
17	7804	42
16.5	7839	35
16	7882	43
15.5	7917	35
15	7950	33
14.5	7976	26
14	8002	26
13.5	8040	38
13	8085	45
12.5	8114	29
12	8142	28
