イベント曲名	Nightwear	
期間	2023/05/11 ～ 2023/05/20	
初日1001位	2134716	
最終5001位	2123070	
#グラフ用	213.4716	0
#グラフ用	213.4716	1000
#グラフ用	212.307	0
#グラフ用	212.307	1000
スコア(万点)	順位	人数
	0	
258	1	1
257	3	2
256	12	9
255	16	4
254	23	7
253	40	17
252	91	51
251	153	62
250	223	70
249	288	65
248	339	51
247	396	57
246	424	28
245	461	37
244	511	50
243	582	71
242	654	72
241	746	92
240	824	78
239	900	76
238	974	74
237	1033	59
236	1086	53
235	1112	26
234	1159	47
233	1192	33
232	1236	44
231	1283	47
230	1323	40
229	1364	41
228	1396	32
227	1438	42
226	1490	52
225	1525	35
224	1578	53
223	1647	69
222	1691	44
221	1749	58
220	1818	69
219	1897	79
218	2107	210
217	2501	394
216	3085	584
215	3717	632
214	4263	546
213	4722	459
212	5121	399
211	5569	448
210	6155	586
209	6778	623
208	7481	703
207	8077	596
206	8557	480
205	8967	410
204	9331	364
203	9656	325
202	9937	281
201	10192	255
200	10453	261
