イベント曲名	なつっこ音頭	
期間	2023/05/30 ～ 2023/06/08	
初日1001位	2365691	
最終5001位	2266163	
#グラフ用	236.5691	0
#グラフ用	236.5691	1000
#グラフ用	226.6163	0
#グラフ用	226.6163	1000
スコア(万点)	順位	人数
	0	
292	3	3
291	4	1
290	7	3
289	10	3
288	11	1
287	13	2
286	15	2
285	17	2
284	27	10
283	36	9
282	53	17
281	74	21
280	90	16
279	104	14
278	116	12
277	126	10
276	136	10
275	140	4
274	149	9
273	161	12
272	179	18
271	192	13
270	211	19
269	230	19
268	251	21
267	272	21
266	298	26
265	322	24
264	359	37
263	394	35
262	426	32
261	464	38
260	508	44
259	558	50
258	613	55
257	681	68
256	740	59
255	798	58
254	878	80
253	975	97
252	1064	89
251	1150	86
250	1245	95
249	1330	85
248	1444	114
247	1549	105
246	1682	133
245	1812	130
244	1942	130
243	2100	158
242	2271	171
241	2443	172
240	2604	161
239	2784	180
238	2961	177
237	3153	192
236	3321	168
235	3486	165
234	3660	174
233	3859	199
232	4041	182
231	4242	201
230	4400	158
229	4591	191
228	4748	157
227	4933	185
226	5081	148
225	5234	153
224	5375	141
223	5519	144
222	5654	135
221	5793	139
220	5941	148
219	6104	163
218	6253	149
217	6415	162
216	6578	163
215	6756	178
214	6944	188
213	7120	176
212	7318	198
211	7522	204
210	7718	196
209	7945	227
208	8162	217
207	8387	225
206	8604	217
205	8848	244
204	9102	254
203	9354	252
202	9622	268
201	9893	271
200	10149	256
