イベント曲名	悠久星涼	
期間	2023/06/19 ～ 2023/06/27	
初日1001位	2089550	
最終5001位	2055751	
#グラフ用	208.955	0
#グラフ用	208.955	1000
#グラフ用	205.5751	0
#グラフ用	205.5751	1000
スコア(万点)	順位	人数
	0	
239	1	1
238	3	2
237	7	4
236	12	5
235	14	2
234	21	7
233	37	16
232	53	16
231	78	25
230	115	37
229	139	24
228	259	120
227	492	233
226	822	330
225	1182	360
224	1476	294
223	1694	218
222	1897	203
221	2148	251
220	2445	297
219	2807	362
218	3121	314
217	3369	248
216	3554	185
215	3738	184
214	3888	150
213	4012	124
212	4146	134
211	4271	125
210	4350	79
209	4439	89
208	4516	77
207	4651	135
206	4886	235
205	5183	297
204	5561	378
203	5902	341
202	6158	256
201	6375	217
200	6588	213
199	6867	279
198	7141	274
197	7431	290
196	7701	270
195	7965	264
194	8268	303
193	8550	282
192	8853	303
191	9132	279
190	9377	245
189	9569	192
188	9754	185
187	9955	201
186	10131	176
185	10319	188
184	10539	220
183	10788	249
182	11061	273
181	11317	256
180	11532	215
