イベント曲名	Next Chapter		
期間	2023/06/29 ～ 2023/07/09		
初日1001位	1675080		
最終5001位	1653190		
#グラフ用	167.508	0	
#グラフ用	167.508	1000	
#グラフ用	165.319	0	
#グラフ用	165.319	1000	
スコア(万点)	順位	人数	師匠編成率
	0		
202	10	10	
201	18	8	
200	23	5	100
199	27	4	
198	32	5	
197	46	14	
196	85	39	
195	215	130	100
194	414	199	
193	648	234	
192	925	277	
191	1169	244	
190	1384	215	100
189	1528	144	
188	1669	141	
187	1791	122	
186	1912	121	
185	2028	116	100
184	2121	93	
183	2211	90	
182	2317	106	
181	2422	105	
180	2573	151	100
179	2760	187	
178	2963	203	
177	3158	195	
176	3345	187	
175	3473	128	100
174	3620	147	
173	3758	138	
172	3888	130	
171	4037	149	
170	4203	166	80
169	4380	177	
168	4578	198	
167	4756	178	
166	4902	146	
165	5048	146	40
164	5208	160	
163	5342	134	
162	5433	91	
161	5537	104	
160	5671	134	50
159	5812	141	
158	5936	124	
157	6097	161	
156	6262	165	
155	6416	154	0
154	6577	161	
153	6745	168	
152	6942	197	
151	7127	185	
150	7316	189	10
149	7512	196	
148	7710	198	
147	7923	213	
146	8144	221	
145	8388	244	0
144	8660	272	
143	8935	275	
142	9194	259	
141	9458	264	
140	9700	242	10
139	10002	302	
138	10229	227	
137	10455	226	
136	10730	275	
135	10993	263	10
