イベント曲名	Night Time Wander	
期間	2023/07/19 ～ 2023/07/27	
初日1001位	2192543	
最終5001位	2188763	
#グラフ用	219.2543	0
#グラフ用	219.2543	1000
#グラフ用	218.8763	0
#グラフ用	218.8763	1000
スコア(万点)	順位	人数
	0	
263	1	1
262	3	2
261	4	1
260	9	5
259	13	4
258	15	2
257	24	9
256	27	3
255	29	2
254	34	5
253	39	5
252	47	8
251	50	3
250	61	11
249	72	11
248	76	4
247	80	4
246	86	6
245	88	2
244	104	16
243	114	10
242	133	19
241	156	23
240	188	32
239	225	37
238	273	48
237	321	48
236	397	76
235	465	68
234	547	82
233	649	102
232	762	113
231	896	134
230	1046	150
229	1225	179
228	1466	241
227	1726	260
226	2048	322
225	2383	335
224	2771	388
223	3123	352
222	3570	447
221	4010	440
220	4515	505
219	4949	434
218	5322	373
217	5688	366
216	6074	386
215	6463	389
214	6821	358
213	7225	404
212	7654	429
211	8079	425
210	8446	367
209	8869	423
208	9242	373
207	9647	405
206	9999	352
205	10345	346
204	10705	360
203	11032	327
202	11335	303
201	11641	306
200	11921	280
