イベント曲名	さよならアロハ	
期間	2023/07/30 ～ 2023/08/09	
初日1001位	2320059	
最終5001位	2235084	
#グラフ用	232.0059	0
#グラフ用	232.0059	1000
#グラフ用	223.5084	0
#グラフ用	223.5084	1000
スコア(万点)	順位	人数
	0	
293	1	1
292	2	1
291	2	0
290	4	2
289	4	0
288	6	2
287	8	2
286	10	2
285	14	4
284	25	11
283	30	5
282	36	6
281	44	8
280	54	10
279	72	18
278	87	15
277	94	7
276	102	8
275	109	7
274	116	7
273	125	9
272	139	14
271	152	13
270	164	12
269	179	15
268	197	18
267	219	22
266	241	22
265	261	20
264	285	24
263	317	32
262	355	38
261	385	30
260	425	40
259	466	41
258	513	47
257	550	37
256	595	45
255	652	57
254	706	54
253	773	67
252	857	84
251	922	65
250	1010	88
249	1088	78
248	1176	88
247	1278	102
246	1395	117
245	1510	115
244	1647	137
243	1778	131
242	1899	121
241	2048	149
240	2201	153
239	2349	148
238	2499	150
237	2649	150
236	2778	129
235	2978	200
234	3133	155
233	3335	202
232	3519	184
231	3693	174
230	3862	169
229	4042	180
228	4228	186
227	4401	173
226	4566	165
225	4757	191
224	4920	163
223	5088	168
222	5228	140
221	5375	147
220	5530	155
219	5656	126
218	5814	158
217	5959	145
216	6117	158
215	6272	155
214	6467	195
213	6664	197
212	6852	188
211	7060	208
210	7273	213
209	7506	233
208	7705	199
207	7942	237
206	8178	236
205	8406	228
204	8657	251
203	8880	223
202	9116	236
201	9364	248
200	9603	239
199	9841	238
198	10092	251
197	10304	212
196	10524	220
195	10752	228
