イベント曲名	ノートの中のテラリウム	
期間	2023/08/19 ～ 2023/08/28	
初日1001位	2103754	
最終5001位	2102990	
#グラフ用	210.3754	0
#グラフ用	210.3754	1000
#グラフ用	210.299	0
#グラフ用	210.299	1000
スコア(万点)	順位	人数
	0	
258	2	2
257	2	0
256	4	2
255	6	2
254	9	3
253	13	4
252	15	2
251	17	2
250	22	5
249	30	8
248	41	11
247	48	7
246	58	10
245	64	6
244	78	14
243	90	12
242	106	16
241	133	27
240	153	20
239	185	32
238	222	37
237	266	44
236	316	50
235	376	60
234	450	74
233	539	89
232	657	118
231	778	121
230	918	140
229	1062	144
228	1209	147
227	1375	166
226	1511	136
225	1668	157
224	1829	161
223	1971	142
222	2116	145
221	2273	157
220	2438	165
219	2615	177
218	2791	176
217	3024	233
216	3291	267
215	3568	277
214	3839	271
213	4169	330
212	4490	321
211	4801	311
210	5087	286
209	5396	309
208	5695	299
207	5965	270
206	6227	262
205	6511	284
204	6834	323
203	7110	276
202	7407	297
201	7672	265
200	7967	295
199	8262	295
198	8540	278
197	8857	317
196	9139	282
195	9413	274
194	9692	279
193	9974	282
192	10237	263
191	10473	236
190	10716	243
