イベント曲名	無限L∞PだLOVE♡	
期間	2023/08/30 ～ 2023/09/08	
501位	374490	
2001位	339797	
#グラフ用	37.449	0
#グラフ用	37.449	1000
#グラフ用	33.9797	0
#グラフ用	33.9797	1000
スコア(万点)	順位	人数
	0	
45	0	0
44.5	6	6
44	14	8
43.5	20	6
43	41	21
42.5	59	18
42	86	27
41.5	115	29
41	138	23
40.5	166	28
40	187	21
39.5	204	17
39	253	49
38.5	301	48
38	372	71
37.5	492	120
37	579	87
36.5	692	113
36	869	177
35.5	1052	183
35	1314	262
34.5	1633	319
34	1994	361
33.5	2122	128
33	2248	126
32.5	2368	120
32	2502	134
31.5	2623	121
31	2772	149
30.5	2922	150
30	3109	187
29.5	3292	183
29	3474	182
28.5	3688	214
28	3950	262
27.5	4217	267
27	4526	309
26.5	4916	390
26	5291	375
25.5	5705	414
25	6148	443
24.5	6586	438
24	7002	416
23.5	7397	395
23	7740	343
22.5	8026	286
22	8258	232
21.5	8440	182
21	8569	129
20.5	8672	103
20	8750	78
19.5	8837	87
19	8906	69
18.5	8958	52
18	9003	45
17.5	9055	52
17	9094	39
16.5	9124	30
16	9166	42
15.5	9213	47
15	9248	35
14.5	9292	44
14	9336	44
13.5	9377	41
13	9415	38
12.5	9463	48
12	9503	40
