イベント曲名	Hardcore Toyworld	
期間	2023/09/20 ～ 2023/09/28	
初日1001位	2422333	
最終5001位	2393386	
#グラフ用	242.2333	0
#グラフ用	242.2333	1000
#グラフ用	239.3386	0
#グラフ用	239.3386	1000
スコア(万点)	順位	人数
	0	
301	3	3
300	3	0
299	9	6
298	10	1
297	12	2
296	17	5
295	21	4
294	29	8
293	48	19
292	58	10
291	72	14
290	84	12
289	96	12
288	107	11
287	120	13
286	129	9
285	134	5
284	150	16
283	158	8
282	168	10
281	178	10
280	190	12
279	195	5
278	200	5
277	209	9
276	212	3
275	219	7
274	226	7
273	229	3
272	233	4
271	239	6
270	245	6
269	249	4
268	258	9
267	263	5
266	266	3
265	270	4
264	276	6
263	285	9
262	291	6
261	298	7
260	307	9
259	311	4
258	316	5
257	322	6
256	328	6
255	338	10
254	344	6
253	359	15
252	371	12
251	385	14
250	400	15
249	464	64
248	670	206
247	1029	359
246	1567	538
245	2202	635
244	2850	648
243	3497	647
242	4042	545
241	4457	415
240	4803	346
239	5096	293
238	5318	222
237	5541	223
236	5762	221
235	5970	208
234	6169	199
233	6340	171
232	6522	182
231	6685	163
230	6859	174
229	6999	140
228	7160	161
227	7289	129
226	7414	125
225	7531	117
224	7637	106
223	7781	144
222	7880	99
221	7982	102
220	8068	86
219	8149	81
218	8250	101
217	8343	93
216	8479	136
215	8645	166
214	8883	238
213	9112	229
212	9294	182
211	9487	193
210	9661	174
209	9890	229
208	10106	216
207	10318	212
206	10497	179
205	10672	175
204	10850	178
203	11007	157
202	11168	161
201	11337	169
200	11464	127
