イベント曲名	パジャマジャマ	
期間	2023/09/30 ～ 2023/10/09	
初日1001位	2024502	
最終5001位	1853285	
#グラフ用	202.4502	0
#グラフ用	202.4502	1000
#グラフ用	185.3285	0
#グラフ用	185.3285	1000
スコア(万点)	順位	人数
	0	
215	7	7
214	14	7
213	22	8
212	33	11
211	39	6
210	49	10
209	74	25
208	120	46
207	260	140
206	539	279
205	936	397
204	1431	495
203	1934	503
202	2412	478
201	2752	340
200	2988	236
199	3148	160
198	3301	153
197	3477	176
196	3624	147
195	3765	141
194	3914	149
193	4053	139
192	4180	127
191	4300	120
190	4409	109
189	4485	76
188	4565	80
187	4672	107
186	4833	161
185	5089	256
184	5363	274
183	5631	268
182	5916	285
181	6163	247
180	6357	194
179	6529	172
178	6695	166
177	6833	138
176	6977	144
175	7114	137
174	7245	131
173	7393	148
172	7514	121
171	7655	141
170	7780	125
169	7907	127
168	8027	120
167	8174	147
166	8290	116
165	8412	122
164	8541	129
163	8656	115
162	8777	121
161	8890	113
160	8994	104
159	9108	114
158	9240	132
157	9373	133
156	9505	132
155	9646	141
154	9766	120
153	9907	141
152	10042	135
151	10196	154
150	10323	127
