イベント曲名	HALLOWEEN GAME	
期間	2023/10/19 ～ 2023/10/27	
初日1001位	2229023	
最終5001位	2233670	
#グラフ用	222.9023	0
#グラフ用	222.9023	1000
#グラフ用	223.367	0
#グラフ用	223.367	1000
スコア(万点)	順位	人数
	0	
270	1	1
269	2	1
268	3	1
267	4	1
266	5	1
265	6	1
264	9	3
263	12	3
262	15	3
261	17	2
260	20	3
259	26	6
258	39	13
257	46	7
256	68	22
255	97	29
254	122	25
253	163	41
252	220	57
251	299	79
250	386	87
249	466	80
248	566	100
247	677	111
246	775	98
245	884	109
244	1010	126
243	1126	116
242	1251	125
241	1395	144
240	1528	133
239	1654	126
238	1798	144
237	1940	142
236	2102	162
235	2304	202
234	2516	212
233	2715	199
232	2923	208
231	3153	230
230	3371	218
229	3586	215
228	3827	241
227	4066	239
226	4316	250
225	4561	245
224	4807	246
223	5091	284
222	5307	216
221	5544	237
220	5743	199
219	5918	175
218	6142	224
217	6359	217
216	6563	204
215	6783	220
214	7013	230
213	7222	209
212	7450	228
211	7667	217
210	7895	228
209	8138	243
208	8355	217
207	8599	244
206	8816	217
205	9014	198
204	9218	204
203	9404	186
202	9584	180
201	9782	198
200	9990	208
199	10162	172
198	10360	198
197	10550	190
196	10728	178
195	10900	172
194	11077	177
193	11249	172
192	11412	163
191	11578	166
190	11760	182
