イベント曲名	D-ark L-ily's Grin	
期間	2023/10/30 ～ 2023/11/08	
初日1001位	2391641	
最終5001位	2291342	
#グラフ用	239.1641	0
#グラフ用	239.1641	1000
#グラフ用	229.1342	0
#グラフ用	229.1342	1000
スコア(万点)	順位	人数
	0	
320	1	1
319	7	6
318	10	3
317	13	3
316	18	5
315	26	8
314	38	12
313	44	6
312	45	1
311	52	7
310	55	3
309	58	3
308	63	5
307	67	4
306	72	5
305	76	4
304	77	1
303	83	6
302	88	5
301	93	5
300	102	9
299	107	5
298	113	6
297	115	2
296	119	4
295	125	6
294	131	6
293	134	3
292	142	8
291	152	10
290	161	9
289	171	10
288	182	11
287	196	14
286	211	15
285	223	12
284	233	10
283	249	16
282	261	12
281	274	13
280	288	14
279	302	14
278	330	28
277	348	18
276	374	26
275	396	22
274	413	17
273	432	19
272	451	19
271	479	28
270	504	25
269	535	31
268	562	27
267	595	33
266	632	37
265	693	61
264	741	48
263	790	49
262	824	34
261	878	54
260	917	39
259	970	53
258	1041	71
257	1104	63
256	1171	67
255	1248	77
254	1325	77
253	1418	93
252	1505	87
251	1607	102
250	1717	110
249	1853	136
248	1974	121
247	2101	127
246	2234	133
245	2378	144
244	2527	149
243	2689	162
242	2856	167
241	3029	173
240	3198	169
239	3353	155
238	3517	164
237	3662	145
236	3831	169
235	3986	155
234	4161	175
233	4349	188
232	4533	184
231	4686	153
230	4871	185
229	5023	152
228	5158	135
227	5302	144
226	5431	129
225	5545	114
224	5686	141
223	5822	136
222	5980	158
221	6109	129
220	6254	145
219	6381	127
218	6536	155
217	6706	170
216	6864	158
215	7041	177
214	7206	165
213	7382	176
212	7548	166
211	7729	181
210	7909	180
209	8080	171
208	8223	143
207	8385	162
206	8543	158
205	8715	172
204	8870	155
203	9038	168
202	9202	164
201	9374	172
200	9553	179
199	9743	190
198	9896	153
197	10073	177
196	10237	164
195	10396	159
194	10548	152
193	10720	172
192	10893	173
191	11057	164
190	11222	165
