イベント曲名	この恋の解を答えなさい	
期間	2023/11/19 ～ 2023/11/27	
初日1001位	2368887	
最終5001位	2345615	
#グラフ用	236.8887	0
#グラフ用	236.8887	1000
#グラフ用	234.5615	0
#グラフ用	234.5615	1000
スコア(万点)	順位	人数
	0	
268	4	4
267	5	1
266	7	2
265	12	5
264	13	1
263	16	3
262	22	6
261	31	9
260	71	40
259	171	100
258	328	157
257	507	179
256	738	231
255	1001	263
254	1235	234
253	1420	185
252	1596	176
251	1734	138
250	1854	120
249	1965	111
248	2070	105
247	2177	107
246	2303	126
245	2411	108
244	2521	110
243	2649	128
242	2839	190
241	3113	274
240	3425	312
239	3800	375
238	4157	357
237	4425	268
236	4690	265
235	4910	220
234	5094	184
233	5269	175
232	5420	151
231	5577	157
230	5720	143
229	5860	140
228	5997	137
227	6113	116
226	6211	98
225	6307	96
224	6442	135
223	6566	124
222	6712	146
221	6830	118
220	6934	104
219	7034	100
218	7156	122
217	7280	124
216	7376	96
215	7467	91
214	7567	100
213	7685	118
212	7788	103
211	7950	162
210	8112	162
209	8255	143
208	8408	153
207	8606	198
206	8775	169
205	8975	200
204	9164	189
203	9326	162
202	9507	181
201	9655	148
200	9838	183
199	10007	169
198	10184	177
197	10364	180
196	10530	166
195	10717	187
