イベント曲名	Teeenage☆Groovin'	
期間	2023/11/29 ～ 2023/12/09	
初日1001位	1735656	
最終5001位	1646293	
#グラフ用	173.5656	0
#グラフ用	173.5656	1000
#グラフ用	164.6293	0
#グラフ用	164.6293	1000
スコア(万点)	順位	人数
	0	
199	3	3
198	9	6
197	28	19
196	64	36
195	81	17
194	96	15
193	110	14
192	132	22
191	148	16
190	174	26
189	194	20
188	213	19
187	236	23
186	259	23
185	278	19
184	303	25
183	343	40
182	418	75
181	543	125
180	713	170
179	920	207
178	1128	208
177	1288	160
176	1482	194
175	1702	220
174	1953	251
173	2264	311
172	2606	342
171	2961	355
170	3327	366
169	3665	338
168	3994	329
167	4309	315
166	4633	324
165	4904	271
164	5142	238
163	5360	218
162	5573	213
161	5774	201
160	5991	217
159	6190	199
158	6438	248
157	6684	246
156	6963	279
155	7270	307
154	7571	301
153	7856	285
152	8179	323
151	8501	322
150	8839	338
149	9197	358
148	9536	339
147	9843	307
146	10145	302
145	10453	308
144	10745	292
143	11001	256
142	11263	262
141	11517	254
140	11728	211
