イベント曲名	WINTER and WINDOW	
期間	2023/12/20 ～ 2023/12/28	
初日1001位	2423464	
最終5001位	2400297	
#グラフ用	242.3464	0
#グラフ用	242.3464	1000
#グラフ用	240.0297	0
#グラフ用	240.0297	1000
スコア(万点)	順位	人数
	0	
273	1	1
272	4	3
271	11	7
270	16	5
269	22	6
268	26	4
267	27	1
266	34	7
265	45	11
264	81	36
263	192	111
262	414	222
261	661	247
260	999	338
259	1311	312
258	1649	338
257	1919	270
256	2196	277
255	2381	185
254	2556	175
253	2709	153
252	2857	148
251	2985	128
250	3119	134
249	3233	114
248	3367	134
247	3481	114
246	3591	110
245	3688	97
244	3805	117
243	3952	147
242	4196	244
241	4575	379
240	5015	440
239	5390	375
238	5765	375
237	6109	344
236	6410	301
235	6723	313
234	6959	236
233	7183	224
232	7380	197
231	7577	197
230	7776	199
229	7951	175
228	8137	186
227	8321	184
226	8498	177
225	8673	175
224	8818	145
223	8965	147
222	9135	170
221	9321	186
220	9461	140
219	9611	150
218	9747	136
217	9890	143
216	10025	135
215	10165	140
214	10272	107
213	10394	122
212	10493	99
211	10596	103
210	10706	110
