	初日1001(1675080)	170万	165万	160万	155万	150万
2023/6/30 0:00	1001					
2023/7/1 0:00	1401					
2023/7/2 0:00	1883		2063	2506	3053	3738
2023/7/3 0:00	2291		2495	2974	3580	4294
2023/7/4 0:00	2650		2880	3391	4016	4727
2023/7/5 0:00	3582	3279	3849	4487	5161	5923
2023/7/6 0:00	3772	3443	4045	4694	5382	6155
2023/7/7 0:00	3922	3580	4201	4832	5528	6291
2023/7/8 0:00	4015	3651	4300	4932	5636	6417
2023/7/9 0:00	4167	3785	4463	5112	5821	6616
2023/7/9 9:00	4285	3887	4591	5235	5950	6759
2023/7/9 13:30	4383	3963	4711	5365	6082	6912
2023/7/9 18:15	4520	4071	4862	5510	6235	7089
2023/7/9 21:00		4203	5048	5671	6416	7316
