	220万	初日1001(2192543)	219万	218万	217万	216万	215万	214万	213万	212万	211万	210万
2023/7/20 0:00	916	1001					1500					2147
2023/7/21 0:00	1516	1648					2407					3372
2023/7/22 0:00	1820	1961	2013	2222	2417	2626	2839					3929
2023/7/22 0:15								3058	3275	3489	3722	
2023/7/23 0:00	2155	2312	2374	2609	2845	3081	3324	3585	3836	4094	4373	4632
2023/7/24 0:00	2699	2890	2968	3255	3532	3813	4099	4382	4683	4992	5298	5561
2023/7/25 0:00	3002	3230	3308	3609	3910	4196	4500	4802	5117	5443	5770	6042
2023/7/26 0:00	3312	3562	3655	3961	4292	4593	4921	5234	5556	5905	6259	6552
2023/7/27 0:00	3723	4004	4110	4463	4809	5156	5507	5838	6189	6559	6931	7244
2023/7/27 21:00	4515	4836	4949	5322	5688	6074	6463	6821	7225	7654	8079	8446
