	235万	234万	233万	初日1001(2320059)	232万	231万	230万	229万	228万	227万	226万	225万	224万	223万	222万	221万	220万
2023/7/31 0:00	831	883	942	1001	1001	1049	1090	1144	1213	1275	1326	1386	1448	1508	1564	1631	1690
2023/8/1 0:00	1373	1455	1547	1640	1641	1710	1779	1857	1939	2038	2116	2199	2297	2395	2471	2570	2662
2023/8/2 0:00	1651	1751	1849	1950	1951	2042	2132	2239	2339	2453	2550	2642	2757	2856	2966	3085	3200
2023/8/3 0:00	1920	2041	2153	2262	2263	2371	2470	2595	2712	2835	2938	3030	3149	3269	3392	3523	3657
2023/8/4 0:00	2098	2229	2357	2476	2477	2600	2704	2842	2962	3085	3204	3312	3445	3569	3701	3835	3976
2023/8/5 0:00	2244	2382	2530	2652	2653	2789	2903	3040	3169	3299	3422	3546	3691	3820	3954	4100	4244
2023/8/6 0:00	2410	2548	2704	2833	2834	2972	3096	3234	3374	3507	3643	3778	3927	4078	4220	4378	4531
2023/8/7 0:00	2555	2694	2860	3009	3012	3152	3284	3440	3581	3722	3865	4008	4148	4302	4437	4598	4764
2023/8/8 0:00	2661	2797	2968	3122	3125	3270	3405	3567	3726	3873	4016	4169	4311	4468	4613	4771	4925
2023/8/9 0:00	2777	2925	3111	3274	3278	3436	3591	3760	3926	4091	4240	4409	4557	4716	4863	5021	5177
2023/8/9 21:15	2978	3133	3335	3515	3519	3693	3862	4042	4228	4401	4566	4757	4920	5088	5228	5375	5530
