	204万	203万	2024502	202万	201万	200万	199万	198万	197万	196万	195万	194万	193万	192万	191万	190万	189万	188万	187万	186万	185万
2023/10/1 0:00	684	908	1001	1074	1215	1314	1384	1456	1528	1594	1659	1730	1780	1840	1878	1907	1942	1979	2020	2116	2258
2023/10/2 0:00	867	1158	1292	1396	1573	1699	1789	1875	1960	2040	2123	2212	2275	2347	2389	2434					
2023/10/3 0:00	936	1255	1406	1519	1715	1853	1947	2044	2135	2215	2300	2393	2463	2541	2595	2643					
2023/10/4 0:00	980	1308	1472	1593	1808	1956	2055	2162	2269	2356	2447	2553	2630	2712	2765	2814					
2023/10/5 0:00	1160	1553	1759	1910	2166	2356	2471	2596	2725	2829	2937	3056	3140	3234	3301	3372					
2023/10/6 0:00	1196	1603	1819	1985	2257	2452	2573	2702	2842	2951	3065	3192	3282	3381	3448	3526					
2023/10/7 0:00	1224	1648	1871	2040	2317	2521	2646	2775	2920	3034	3148	3275	3370	3470	3543	3626					
2023/10/8 0:00	1265	1700	1932	2105	2392	2601	2731	2861	3009	3129	3247	3376	3478	3582	3659	3745					
2023/10/9 0:00	1304	1755	1997	2176	2485	2698	2830	2963	3120	3242	3372	3505	3614	3724	3808	3904					
2023/10/10 12:00	1431	1934	2208	2412	2752	2988	3148	3301	3477	3624	3765	3914	4053	4180	4300	4409					
