	242万	241万	240万	2391641	239万	238万	237万	236万	235万	234万	233万	232万	231万	230万	229万	228万	227万	226万	225万
2023/10/31 0:00	862	914	958	1001	1008	1073	1111	1165	1209	1263	1308	1363	1405	1459	1508	1559	1607	1667	1722
2023/11/1 0:00	1379	1453	1525	1588	1610	1696	1761	1845	1915	2000	2076	2175	2230	2314	2397	2479	2563	2652	2731
2023/11/2 0:00	1673	1760	1851	1917	1942	2038	2120	2209	2292	2391	2486	2599	2677	2781	2878	2974	3079	3188	3280
2023/11/3 0:00	1858	1970	2066	2132	2157	2262	2357	2454	2550	2663	2774	2885	2969	3084	3195	3308	3418	3527	3632
2023/11/4 0:00	2075	2200	2309	2326	2405	2518	2624	2732	2838	2957	3089	3225	3330	3451	3577	3696	3807	3930	4041
2023/11/5 0:00	2263	2400	2519	2602	2631	2754	2873	2996	3103	3236	3376	3519	3640	3774	3903	4038	4170	4298	4403
2023/11/6 0:00	2421	2569	2702	2797	2828	2957	3083	3213	3330	3464	3616	3773	3906	4052	4182	4311	4446	4575	4694
2023/11/7 0:00	2543	2698	2842	2944	2976	3120	3249	3386	3512	3650	3818	3976	4104	4256	4386	4516	4660	4790	4909
2023/11/8 0:00	2678	2843	2998	3104	3141	3294	3425	3577	3712	3865	4036	4207	4344	4506	4640	4775	4922	5051	5169
2023/11/9 12:00	2856	3029	3198	3315	3353	3517	3662	3831	3986	4161	4349	4533	4686	4871	5023	5158	5302	5431	5545
