	175万	174万	1735656	173万	172万	171万	170万	169万	168万	167万	166万	165万	164万	163万	162万	161万	160万
2023/11/30 0:00	789	930	1001	1089	1262	1445	1615	1786	1930	2069	2206	2347	2491	2634	2761	2897	3034
2023/12/1 0:00	958	1124	1201	1307	1512	1720	1937	2127	2294	2459	2611	2773	2940	3095	3257	3412	3562
2023/12/2 0:00	1023	1194	1276	1392	1598	1816	2045	2255	2427	2601	2774	2946	3120	3276	3443	3605	3765
2023/12/3 0:00	1107	1284	1380	1499	1721	1963	2199	2427	2610	2794	2974	3156	3334	3501	3671	3832	4005
2023/12/4 0:00	1179	1368	1467	1588	1827	2083	2332	2575	2778	2976	3166	3359	3542	3723	3898	4073	4253
2023/12/5 0:00	1338	1547	1651	1792	2063	2345	2625	2906	3119	3351	3581	3793	4009	4194	4395	4583	4784
2023/12/6 0:00	1383	1599	1711	1862	2138	2427	2717	3007	3234	3472	3710	3929	4138	4331	4536	4725	4932
2023/12/7 0:00	1431	1651	1768	1923	2206	2504	2799	3097	3340	3582	3829	4053	4273	4466	4677	4858	5064
2023/12/8 0:00	1476	1706	1825	1982	2276	2584	2886	3189	3439	3693	3946	4178	4395	4595	4810	5000	5199
2023/12/9 0:00	1524	1759	1876	2037	2341	2655	2969	3277	3547	3813	4082	4320	4553	4760	4973	5164	5360
2023/12/10 12:00	1702	1953	2087	2264	2606	2961	3327	3665	3994	4309	4633	4904	5142	5360	5573	5774	5991
