イベント曲名	ワタシ御伽ばなシ	
期間	2024/01/30 ～ 2024/02/07	
初日1001位	2364932	
最終5001位	2284550	
#グラフ用	236.4932	0
#グラフ用	236.4932	1000
#グラフ用	228.455	0
#グラフ用	228.455	1000
スコア(万点)	順位	人数
0		
286	3	3
285	8	5
284	11	3
283	17	6
282	46	29
281	88	42
280	114	26
279	128	14
278	140	12
277	155	15
276	164	9
275	174	10
274	180	6
273	190	10
272	204	14
271	221	17
270	246	25
269	264	18
268	292	28
267	320	28
266	350	30
265	389	39
264	417	28
263	446	29
262	490	44
261	537	47
260	602	65
259	654	52
258	713	59
257	769	56
256	831	62
255	892	61
254	942	50
253	1027	85
252	1106	79
251	1216	110
250	1318	102
249	1418	100
248	1530	112
247	1648	118
246	1773	125
245	1928	155
244	2082	154
243	2230	148
242	2402	172
241	2573	171
240	2765	192
239	2908	143
238	3077	169
237	3271	194
236	3468	197
235	3644	176
234	3836	192
233	4054	218
232	4268	214
231	4485	217
230	4692	207
229	4890	198
228	5079	189
227	5219	140
226	5366	147
225	5521	155
224	5667	146
223	5836	169
222	6002	166
221	6167	165
220	6313	146
219	6479	166
218	6646	167
217	6838	192
216	7005	167
215	7164	159
214	7346	182
213	7521	175
212	7697	176
211	7853	156
210	8049	196
209	8235	186
208	8422	187
207	8607	185
206	8824	217
205	8997	173
204	9207	210
203	9417	210
202	9642	225
201	9833	191
200	10035	202
