イベント曲名	Come to you	
期間	2024/01/01 ～ 2024/01/10	
501位	417134	
2001位	373360	
#グラフ用	41.7134	0
#グラフ用	41.7134	1000
#グラフ用	37.336	0
#グラフ用	37.336	1000
スコア(万点)	順位	人数
	0	
47	6	6
46.5	13	7
46	27	14
45.5	48	21
45	80	32
44.5	115	35
44	157	42
43.5	205	48
43	263	58
42.5	326	63
42	436	110
41.5	531	95
41	636	105
40.5	737	101
40	913	176
39.5	1061	148
39	1238	177
38.5	1431	193
38	1692	261
37.5	1933	241
37	2089	156
36.5	2180	91
36	2279	99
35.5	2370	91
35	2463	93
34.5	2547	84
34	2658	111
33.5	2747	89
33	2846	99
32.5	2965	119
32	3087	122
31.5	3220	133
31	3339	119
30.5	3502	163
30	3705	203
29.5	3884	179
29	4120	236
28.5	4360	240
28	4634	274
27.5	4955	321
27	5352	397
26.5	5722	370
26	6168	446
25.5	6583	415
25	7012	429
24.5	7348	336
24	7688	340
23.5	7954	266
23	8198	244
22.5	8390	192
22	8547	157
21.5	8689	142
21	8779	90
20.5	8866	87
20	8930	64
19.5	8982	52
19	9032	50
18.5	9078	46
18	9117	39
17.5	9148	31
17	9188	40
16.5	9230	42
16	9261	31
15.5	9291	30
15	9311	20
14.5	9342	31
14	9370	28
13.5	9407	37
13	9436	29
12.5	9481	45
12	9516	35
11.5	9550	34
11	9583	33
10.5	9621	38
10	9659	38
9.5	9710	51
9	9759	49
8.5	9809	50
8	9849	40
7.5	9904	55
7	9966	62
6.5	10029	63
6	10095	66
5.5	10172	77
5	10265	93
4.5	10380	115
4	10554	174
3.5	10736	182
3	10941	205
2.5	11173	232
2	11478	305
1.5	11771	293
1	12016	245
0.5	12379	363
0	12442	63
