イベント曲名	スバル	
期間	2024/02/28 ～ 2024/03/08	
初日1001位	1896913	
最終5001位	1845533	
#グラフ用	189.6913	0
#グラフ用	189.6913	1000
#グラフ用	184.5533	0
#グラフ用	184.5533	1000
スコア(万点)	順位	人数
0		
214	4	4
213	12	8
212	18	6
211	22	4
210	26	4
209	37	11
208	79	42
207	221	142
206	441	220
205	701	260
204	1028	327
203	1379	351
202	1640	261
201	1828	188
200	1956	128
199	2083	127
198	2195	112
197	2297	102
196	2403	106
195	2508	105
194	2597	89
193	2671	74
192	2747	76
191	2830	83
190	2899	69
189	2985	86
188	3174	189
187	3506	332
186	4055	549
185	4722	667
184	5271	549
183	5708	437
182	6057	349
181	6330	273
180	6552	222
179	6763	211
178	6940	177
177	7151	211
176	7349	198
175	7494	145
174	7679	185
173	7844	165
172	7998	154
171	8128	130
170	8265	137
169	8386	121
168	8491	105
167	8593	102
166	8683	90
165	8776	93
164	8861	85
163	8946	85
162	9042	96
161	9135	93
160	9216	81
159	9281	65
158	9362	81
157	9431	69
156	9489	58
155	9551	62
154	9623	72
153	9694	71
152	9751	57
151	9837	86
150	9929	92
149	10061	132
148	10219	158
147	10435	216
146	10633	198
145	10808	175
