イベント曲名	ジュビリー	
期間	2024/03/23 ～ 2024/04/02	
初日1001位	2511003	
最終5001位	2445571	
#グラフ用	251.1003	0
#グラフ用	251.1003	1000
#グラフ用	244.5571	0
#グラフ用	244.5571	1000
スコア(万点)	順位	人数
0		
319	1	1
318	2	1
317	2	0
316	2	0
315	4	2
314	5	1
313	8	3
312	11	3
311	16	5
310	19	3
309	21	2
308	25	4
307	27	2
306	35	8
305	54	19
304	67	13
303	77	10
302	87	10
301	101	14
300	125	24
299	151	26
298	177	26
297	201	24
296	230	29
295	259	29
294	297	38
293	329	32
292	357	28
291	383	26
290	408	25
289	440	32
288	466	26
287	483	17
286	503	20
285	526	23
284	539	13
283	551	12
282	575	24
281	581	6
280	599	18
279	608	9
278	626	18
277	635	9
276	656	21
275	675	19
274	687	12
273	693	6
272	706	13
271	727	21
270	748	21
269	776	28
268	794	18
267	810	16
266	833	23
265	855	22
264	882	27
263	914	32
262	956	42
261	1007	51
260	1070	63
259	1139	69
258	1256	117
257	1400	144
256	1613	213
255	1962	349
254	2345	383
253	2666	321
252	2995	329
251	3308	313
250	3615	307
249	3909	294
248	4207	298
247	4471	264
246	4717	246
245	4916	199
244	5096	180
243	5250	154
242	5389	139
241	5532	143
240	5641	109
239	5758	117
238	5859	101
237	5940	81
236	6039	99
235	6141	102
234	6225	84
233	6312	87
232	6389	77
231	6480	91
230	6553	73
229	6644	91
228	6739	95
227	6853	114
226	6991	138
225	7170	179
224	7365	195
223	7609	244
222	7891	282
221	8214	323
220	8536	322
219	8844	308
218	9160	316
217	9498	338
216	9863	365
215	10210	347
214	10585	375
213	10927	342
212	11267	340
211	11616	349
210	11970	354
