イベント曲名	神様！絶対だよ	
期間	2024/04/30 ～ 2024/05/11	
501位	430970	
2001位	383990	
#グラフ用	43.097	0
#グラフ用	43.097	1000
#グラフ用	38.399	0
#グラフ用	38.399	1000
スコア(万点)	順位	人数
	0	
48.5	2	2
48	5	3
47.5	19	14
47	43	24
46.5	70	27
46	110	40
45.5	150	40
45	208	58
44.5	248	40
44	317	69
43.5	410	93
43	518	108
42.5	593	75
42	692	99
41.5	814	122
41	971	157
40.5	1137	166
40	1368	231
39.5	1545	177
39	1749	204
38.5	1968	219
38	2095	127
37.5	2170	75
37	2239	69
36.5	2311	72
36	2385	74
35.5	2445	60
35	2523	78
34.5	2615	92
34	2717	102
33.5	2810	93
33	2918	108
32.5	3019	101
32	3168	149
31.5	3292	124
31	3439	147
30.5	3614	175
30	3816	202
29.5	4014	198
29	4255	241
28.5	4515	260
28	4816	301
27.5	5144	328
27	5507	363
26.5	5839	332
26	6163	324
25.5	6468	305
25	6758	290
24.5	6963	205
24	7133	170
23.5	7273	140
23	7397	124
22.5	7502	105
22	7579	77
21.5	7656	77
21	7690	34
20.5	7737	47
20	7776	39
19.5	7799	23
19	7836	37
18.5	7863	27
18	7888	25
17.5	7918	30
17	7944	26
16.5	7985	41
16	8018	33
15.5	8044	26
15	8076	32
14.5	8108	32
14	8134	26
13.5	8154	20
13	8181	27
12.5	8209	28
12	8241	32
11.5	8269	28
11	8304	35
10.5	8328	24
10	8355	27
9.5	8393	38
9	8423	30
8.5	8473	50
8	8512	39
7.5	8559	47
7	8617	58
6.5	8682	65
6	8739	57
5.5	8811	72
5	8896	85
4.5	8997	101
4	9128	131
3.5	9244	116
3	9453	209
2.5	9680	227
2	9895	215
1.5	10091	196
1	10301	210
0.5	10588	287
0	10634	46
