イベント曲名	流星浪漫	
期間	2024/05/30 ～ 2024/06/09	
初日1001位	2334168	
最終5001位	2303214	
#グラフ用	233.4168	0
#グラフ用	233.4168	1000
#グラフ用	230.3214	0
#グラフ用	230.3214	1000
スコア(万点)	順位	人数
0		
290	2	2
289	3	1
288	10	7
287	11	1
286	17	6
285	21	4
284	26	5
283	34	8
282	62	28
281	131	69
280	190	59
279	258	68
278	328	70
277	389	61
276	445	56
275	493	48
274	536	43
273	564	28
272	591	27
271	609	18
270	631	22
269	655	24
268	676	21
267	696	20
266	713	17
265	733	20
264	751	18
263	773	22
262	785	12
261	812	27
260	849	37
259	894	45
258	957	63
257	1033	76
256	1141	108
255	1241	100
254	1321	80
253	1391	70
252	1453	62
251	1507	54
250	1561	54
249	1616	55
248	1658	42
247	1706	48
246	1757	51
245	1818	61
244	1910	92
243	2071	161
242	2283	212
241	2573	290
240	2909	336
239	3167	258
238	3355	188
237	3551	196
236	3690	139
235	3817	127
234	3958	141
233	4151	193
232	4404	253
231	4732	328
230	5115	383
229	5490	375
228	5863	373
227	6154	291
226	6448	294
225	6666	218
224	6927	261
223	7134	207
222	7335	201
221	7543	208
220	7751	208
219	7952	201
218	8149	197
217	8325	176
216	8486	161
215	8656	170
214	8808	152
213	8964	156
212	9113	149
211	9270	157
210	9404	134
209	9519	115
208	9655	136
207	9778	123
206	9889	111
205	10005	116
204	10140	135
203	10281	141
202	10433	152
201	10569	136
200	10727	158
