イベント曲名	バラカストーリア	
期間	2024/06/28 ～ 2024/07/09	
初日1001位	2524713	
最終5001位	2471441	
#グラフ用	252.4713	0
#グラフ用	252.4713	1000
#グラフ用	247.1441	0
#グラフ用	247.1441	1000
スコア(万点)	順位	人数
0		
310	1	1
309	1	0
308	2	1
307	2	0
306	2	0
305	2	0
304	2	0
303	2	0
302	2	0
301	2	0
300	2	0
299	3	1
298	5	2
297	11	6
296	17	6
295	22	5
294	24	2
293	26	2
292	32	6
291	38	6
290	48	10
289	62	14
288	80	18
287	110	30
286	139	29
285	177	38
284	249	72
283	331	82
282	407	76
281	463	56
280	538	75
279	594	56
278	646	52
277	708	62
276	770	62
275	826	56
274	882	56
273	937	55
272	981	44
271	1034	53
270	1081	47
269	1131	50
268	1173	42
267	1206	33
266	1267	61
265	1358	91
264	1528	170
263	1715	187
262	1944	229
261	2162	218
260	2378	216
259	2570	192
258	2751	181
257	2950	199
256	3166	216
255	3395	229
254	3615	220
253	3820	205
252	4007	187
251	4206	199
250	4435	229
249	4635	200
248	4841	206
247	5017	176
246	5173	156
245	5332	159
244	5477	145
243	5612	135
242	5745	133
241	5882	137
240	6021	139
239	6137	116
238	6240	103
237	6368	128
236	6475	107
235	6572	97
234	6675	103
233	6773	98
232	6872	99
231	6958	86
230	7029	71
229	7145	116
228	7246	101
227	7343	97
226	7452	109
225	7568	116
224	7688	120
223	7824	136
222	7999	175
221	8163	164
220	8332	169
219	8522	190
218	8706	184
217	8915	209
216	9145	230
215	9363	218
214	9604	241
213	9816	212
212	10047	231
211	10260	213
210	10458	198
209	10649	191
208	10853	204
207	11045	192
206	11242	197
205	11424	182
204	11615	191
203	11804	189
202	11997	193
201	12187	190
200	12354	167
