イベント曲名	モラトリアム	
期間	2024/07/29 ～ 2024/08/10	
初日1001位	2461566	
最終5001位	2361825	
#グラフ用	246.1566	0
#グラフ用	246.1566	1000
#グラフ用	236.1825	0
#グラフ用	236.1825	1000
スコア(万点)	順位	人数
0		
323	1	1
322	3	2
321	3	0
320	3	0
319	5	2
318	5	0
317	5	0
316	6	1
315	9	3
314	11	2
313	15	4
312	20	5
311	22	2
310	30	8
309	35	5
308	37	2
307	42	5
306	47	5
305	55	8
304	58	3
303	64	6
302	75	11
301	88	13
300	107	19
299	124	17
298	139	15
297	148	9
296	164	16
295	178	14
294	195	17
293	217	22
292	233	16
291	254	21
290	274	20
289	285	11
288	303	18
287	314	11
286	338	24
285	366	28
284	393	27
283	419	26
282	454	35
281	492	38
280	524	32
279	556	32
278	581	25
277	625	44
276	675	50
275	721	46
274	769	48
273	822	53
272	867	45
271	915	48
270	966	51
269	1014	48
268	1078	64
267	1141	63
266	1201	60
265	1268	67
264	1344	76
263	1425	81
262	1513	88
261	1613	100
260	1707	94
259	1792	85
258	1886	94
257	1995	109
256	2100	105
255	2209	109
254	2322	113
253	2453	131
252	2601	148
251	2744	143
250	2889	145
249	3046	157
248	3185	139
247	3318	133
246	3458	140
245	3603	145
244	3762	159
243	3944	182
242	4109	165
241	4251	142
240	4431	180
239	4581	150
238	4733	152
237	4884	151
236	5032	148
235	5168	136
234	5307	139
233	5434	127
232	5575	141
231	5729	154
230	5871	142
229	6034	163
228	6183	149
227	6312	129
226	6465	153
225	6620	155
224	6772	152
223	6940	168
222	7092	152
221	7264	172
220	7406	142
219	7569	163
218	7713	144
217	7881	168
216	8002	121
215	8158	156
214	8320	162
213	8468	148
212	8632	164
211	8808	176
210	8975	167
209	9137	162
208	9299	162
207	9448	149
206	9617	169
205	9791	174
204	9928	137
203	10101	173
202	10253	152
201	10394	141
200	10536	142
