イベント曲名	Fantasia for the Girls	
期間	2024/08/30 ～ 2024/09/10	
501位	411659	
2001位	371508	
#グラフ用	41.1659	0
#グラフ用	41.1659	1000
#グラフ用	37.1508	0
#グラフ用	37.1508	1000
スコア(万点)	順位	人数
	0	
46.5	1	1
46	9	8
45.5	14	5
45	30	16
44.5	55	25
44	103	48
43.5	136	33
43	191	55
42.5	254	63
42	326	72
41.5	420	94
41	539	119
40.5	636	97
40	782	146
39.5	910	128
39	1109	199
38.5	1314	205
38	1554	240
37.5	1824	270
37	2041	217
36.5	2141	100
36	2221	80
35.5	2293	72
35	2396	103
34.5	2483	87
34	2597	114
33.5	2683	86
33	2781	98
32.5	2897	116
32	3018	121
31.5	3145	127
31	3312	167
30.5	3505	193
30	3715	210
29.5	3942	227
29	4185	243
28.5	4462	277
28	4794	332
27.5	5093	299
27	5421	328
26.5	5736	315
26	6045	309
25.5	6340	295
25	6622	282
24.5	6827	205
24	7022	195
23.5	7149	127
23	7289	140
22.5	7392	103
22	7464	72
21.5	7531	67
21	7575	44
20.5	7630	55
20	7669	39
19.5	7713	44
19	7755	42
18.5	7788	33
18	7833	45
17.5	7861	28
17	7898	37
16.5	7932	34
16	7976	44
15.5	8011	35
15	8039	28
14.5	8071	32
14	8097	26
13.5	8130	33
13	8163	33
12.5	8203	40
12	8236	33
11.5	8271	35
11	8310	39
10.5	8338	28
10	8375	37
9.5	8402	27
9	8443	41
8.5	8470	27
8	8510	40
7.5	8552	42
7	8603	51
6.5	8672	69
6	8739	67
5.5	8821	82
5	8899	78
4.5	9011	112
4	9135	124
3.5	9305	170
3	9470	165
2.5	9713	243
2	9931	218
1.5	10080	149
1	10293	213
0.5	10571	278
0	10622	51
