イベント曲名	Fin[e]〜美しき終焉〜	
期間	2024/09/30 ～ 2024/10/09	
初日1001位	2617401	
最終5001位	2627333	
#グラフ用	261.7401	0
#グラフ用	261.7401	1000
#グラフ用	262.7333	0
#グラフ用	262.7333	1000
スコア(万点)	順位	人数
0		
328	1	1
327	4	3
326	8	4
325	11	3
324	20	9
323	22	2
322	25	3
321	28	3
320	29	1
319	29	0
318	30	1
317	30	0
316	31	1
315	31	0
314	52	21
313	105	53
312	165	60
311	255	90
310	334	79
309	397	63
308	449	52
307	495	46
306	540	45
305	584	44
304	621	37
303	670	49
302	706	36
301	742	36
300	781	39
299	822	41
298	851	29
297	895	44
296	939	44
295	980	41
294	1032	52
293	1073	41
292	1123	50
291	1176	53
290	1224	48
289	1275	51
288	1340	65
287	1416	76
286	1550	134
285	1700	150
284	1860	160
283	1981	121
282	2085	104
281	2193	108
280	2301	108
279	2427	126
278	2563	136
277	2751	188
276	2948	197
275	3185	237
274	3367	182
273	3519	152
272	3670	151
271	3846	176
270	3984	138
269	4146	162
268	4301	155
267	4443	142
266	4570	127
265	4702	132
264	4843	141
263	4973	130
262	5083	110
261	5190	107
260	5297	107
259	5369	72
258	5454	85
257	5554	100
256	5644	90
255	5741	97
254	5829	88
253	5908	79
252	6013	105
251	6140	127
250	6319	179
249	6566	247
248	6805	239
247	7019	214
246	7225	206
245	7425	200
244	7646	221
243	7857	211
242	8063	206
241	8282	219
240	8474	192
239	8648	174
238	8836	188
237	9017	181
236	9178	161
235	9367	189
234	9524	157
233	9679	155
232	9825	146
231	9968	143
230	10084	116
229	10220	136
228	10341	121
227	10466	125
226	10593	127
225	10735	142
224	10883	148
223	11036	153
222	11201	165
221	11368	167
220	11525	157
