イベント曲名	EPHEMERAL AЯROW	
期間	2024/10/30 ～ 2024/11/10	
初日1001位	1774103	
最終5001位	1717414	
#グラフ用	177.4103	0
#グラフ用	177.4103	1000
#グラフ用	171.7414	0
#グラフ用	171.7414	1000
スコア(万点)	順位	人数
0		
237	1	1
236	1	0
235	2	1
234	4	2
233	6	2
232	6	0
231	6	0
230	7	1
229	9	2
228	11	2
227	14	3
226	17	3
225	20	3
224	21	1
223	21	0
222	22	1
221	24	2
220	25	1
219	27	2
218	28	1
217	34	6
216	34	0
215	37	3
214	38	1
213	41	3
212	48	7
211	55	7
210	63	8
209	69	6
208	73	4
207	83	10
206	91	8
205	94	3
204	102	8
203	109	7
202	115	6
201	118	3
200	123	5
199	130	7
198	132	2
197	134	2
196	137	3
195	142	5
194	153	11
193	160	7
192	167	7
191	182	15
190	263	81
189	386	123
188	499	113
187	587	88
186	686	99
185	808	122
184	935	127
183	1069	134
182	1213	144
181	1392	179
180	1587	195
179	1834	247
178	2132	298
177	2659	527
176	3201	542
175	3730	529
174	4215	485
173	4617	402
172	4941	324
171	5178	237
170	5373	195
169	5526	153
168	5685	159
167	5813	128
166	5933	120
165	6048	115
164	6152	104
163	6285	133
162	6413	128
161	6542	129
160	6680	138
159	6839	159
158	7012	173
157	7199	187
156	7386	187
155	7575	189
154	7781	206
153	7983	202
152	8195	212
151	8402	207
150	8580	178
149	8788	208
148	8944	156
147	9105	161
146	9267	162
145	9421	154
144	9582	161
143	9724	142
142	9875	151
141	10003	128
140	10142	139
