イベント曲名	We wish your smile	
期間	2024/11/29 ～ 2024/12/11	
初日1001位	2581450	
最終5001位	2596394	
#グラフ用	258.145	0
#グラフ用	258.145	1000
#グラフ用	259.6394	0
#グラフ用	259.6394	1000
スコア(万点)	順位	人数
0		
302	3	3
301	4	1
300	12	8
299	19	7
298	30	11
297	42	12
296	49	7
295	54	5
294	57	3
293	58	1
292	59	1
291	60	1
290	66	6
289	78	12
288	154	76
287	282	128
286	416	134
285	572	156
284	692	120
283	785	93
282	854	69
281	925	71
280	999	74
279	1076	77
278	1143	67
277	1224	81
276	1289	65
275	1366	77
274	1448	82
273	1533	85
272	1655	122
271	1792	137
270	1955	163
269	2128	173
268	2316	188
267	2585	269
266	2961	376
265	3337	376
264	3716	379
263	4079	363
262	4387	308
261	4653	266
260	4910	257
259	5157	247
258	5350	193
257	5541	191
256	5710	169
255	5877	167
254	6026	149
253	6153	127
252	6289	136
251	6428	139
250	6570	142
249	6697	127
248	6844	147
247	7021	177
246	7192	171
245	7386	194
244	7567	181
243	7738	171
242	7920	182
241	8088	168
240	8242	154
239	8380	138
238	8539	159
237	8698	159
236	8864	166
235	9010	146
234	9148	138
233	9315	167
232	9433	118
231	9561	128
230	9704	143
229	9838	134
228	9983	145
227	10113	130
226	10265	152
225	10402	137
224	10534	132
223	10676	142
222	10806	130
221	10939	133
220	11078	139
