	190万	1896913	189万	188万	187万	186万	185万	184万	183万	182万	181万	180万
2024/2/29 0:00	996	1001	1023	1102	1257	1480	1774	2073	2336	2532	2723	2869
2024/3/1 0:00	1345	1354	1374	1468	1649	1907	2255	2593	2902	3142	3349	3506
2024/3/2 0:00	1494	1504	1532	1638	1834	2105	2485	2845	3169	3418	3634	3808
2024/3/3 0:00	1629	1640	1671	1785	1993	2293	2688	3070	3417	3682	3910	4093
2024/3/4 0:00	1802	1813	1850	1971	2195	2530	2954	3360	3732	4024	4252	4448
2024/3/5 0:00	2240	2259	2300	2443	2700	3117	3613	4097	4519	4839	5092	5310
2024/3/6 0:00	2344	2363	2408	2564	2832	3253	3768	4262	4692	5017	5269	5490
2024/3/7 0:00	2438	2459	2506	2662	2942	3388	3923	4433	4859	5191	5447	5665
2024/3/8 0:00	2545	2567	2619	2784	3083	3551	4108	4631	5060	5391	5647	5860
2024/3/9 12:00	2899	2923	2985	3174	3506	4055	4722	5271	5708	6057	6330	6552
