	252万	2511003	251万	250万	249万	248万	247万	246万	245万	244万	243万	242万	241万	240万	239万	238万	237万	236万	235万	234万	233万	232万	231万	230万
2024/3/24 0:00	905	1001	1011	1114	1206	1306	1410	1497	1581	1654	1722	1788	1849	1904	1956	2003	2059	2105	2141	2182	2219	2257	2296	2334
2024/3/25 0:00	1378	1520	1533	1687	1813	1956	2096	2225	2356	2455	2543	2636	2731	2810	2881	2968	3039	3106	3173	3233	3287	3334	3396	3447
2024/3/26 0:00	1633	1792	1810	2000	2164	2330	2483	2653	2784	2899	3010	3121	3234	3323	3408	3495	3567	3644	3729	3800	3856	3911	3970	4031
2024/3/27 0:00	1835	2015	2038	2247	2433	2604	2776	2956	3092	3227	3348	3472	3590	3685	3781	3869	3945	4026	4110	4188	4247	4312	4381	4446
2024/3/28 0:00	1990	2179	2205	2438	2631	2823	3010	3191	3338	3476	3610	3733	3857	3959	4064	4158	4236	4322	4413	4492	4553	4619	4700	4766
2024/3/29 0:00	2112	2317	2343	2588	2795	2997	3200	3389	3544	3699	3844	3970	4100	4210	4314	4412	4492	4578	4668	4749	4806	4875	4956	5026
2024/3/30 0:00	2212	2420	2449	2710	2927	3140	3343	3539	3705	3865	4016	4146	4283	4397	4502	4603	4689	4768	4866	4946	5011	5087	5164	5234
2024/3/31 0:00	2342	2565	2595	2861	3095	3313	3536	3737	3912	4077	4233	4363	4500	4613	4735	4833	4915	4998	5093	5177	5247	5326	5403	5477
2024/4/1 0:15	2546	2782	2817	3098	3341	3570	3808	4024	4201	4354	4517	4663	4801	4922	5042	5140	5223	5307	5406	5494	5571	5644	5722	5804
2024/4/2 0:00	2717	2963	2996	3283	3540	3789	4025	4250	4432	4595	4762	4918	5049	5172	5289	5380	5467	5559	5658	5747	5828	5901	5980	6060
2024/4/3 12:00	2995	3267	3308	3615	3909	4207	4471	4717	4916	5096	5250	5389	5532	5641	5758	5859	5940	6039	6141	6225	6312	6389	6480	6553
