	255万	254万	253万	2524713	252万	251万	250万	249万	248万	247万	246万	245万	244万	243万	242万	241万	240万
2024/6/29 0:00	855	914	973	1001	1028	1078	1131	1177	1225	1277	1333	1379	1430	1472	1531	1563	1599
2024/6/30 0:00	1432	1534	1634	1682	1718	1800	1900	1976	2070	2150	2234	2314	2402	2468	2561	2621	2685
2024/7/1 0:00	1763	1882	2000	2060	2109	2213	2336	2437	2556	2654	2749	2843	2941	3018	3133	3211	3291
2024/7/2 0:00	1968	2093	2221	2281	2337	2448	2591	2706	2836	2944	3048	3164	3276	3379	3499	3585	3678
2024/7/2 23:00	2117	2248	2388	2454	2516	2636	2782	2906	3054	3168	3282	3402	3514	3631	3747	3843	3936
2024/7/4 0:00	2273	2417	2570	2641	2706	2828	2982	3117	3274	3387	3510	3639	3761	3886	4003	4111	4222
2024/7/5 0:00	2392	2551	2709	2776	2846	2974	3133	3273	3438	3556	3683	3826	3953	4078	4203	4306	4416
2024/7/6 0:00	2488	2654	2816	2888	2970	3102	3266	3406	3584	3712	3848	3995	4125	4247	4371	4477	4584
2024/7/7 0:00	2659	2836	3004	3082	3166	3306	3485	3640	3822	3969	4114	4262	4393	4518	4645	4765	4878
2024/7/8 0:00	2853	3037	3206	3293	3375	3529	3712	3871	4053	4208	4363	4524	4664	4797	4921	5039	5155
2024/7/9 0:00	3043	3244	3424	3515	3604	3774	3970	4145	4338	4504	4668	4829	4975	5113	5246	5370	5488
2024/7/10 12:00	3395	3615	3820	3916	4007	4206	4435	4635	4841	5017	5173	5332	5477	5612	5745	5882	6021
