	248万	247万	2461566	246万	245万	244万	243万	242万	241万	240万	239万	238万	237万	236万	235万	234万	233万	232万	231万	230万	229万	228万	227万	226万	225万
2024/7/30 0:00	928	970	1001	1011	1067	1106	1153	1194	1245	1283	1342	1390	1444	1507	1558	1616	1657	1724	1801	1867	1938	2007	2055	2129	2186
2024/7/31 0:00	1453	1503	1558	1578	1654	1721	1790	1874	1953	2023	2111	2172	2250	2352	2434	2528	2618	2721	2843	2952	3042	3142	3234	3350	3443
2024/8/1 0:00	1740	1802	1874	1898	1992	2082	2179	2280	2373	2468	2576	2671	2769	2881	2963	3073	3168	3281	3409	3532	3644	3750	3857	3977	4088
2024/8/2 0:00	1933	2009	2078	2102	2203	2303	2411	2530	2632	2749	2862	2968	3075	3197	3291	3405	3516	3639	3762	3896	4019	4138	4246	4374	4507
2024/8/3 0:00	2129	2218	2297	2323	2434	2530	2651	2773	2882	3002	3117	3230	3337	3453	3566	3685	3783	3906	4032	4172	4302	4433	4553	4684	4813
2024/8/4 0:00	2321	2420	2510	2539	2648	2768	2903	3023	3135	3261	3385	3517	3637	3762	3875	3999	4118	4242	4375	4516	4649	4786	4903	5037	5166
2024/8/5 0:00	2496	2610	2702	2730	2842	2964	3108	3227	3336	3473	3613	3747	3864	3997	4129	4257	4384	4517	4658	4797	4939	5071	5187	5322	5461
2024/8/6 0:00	2586	2705	2795	2825	2941	3065	3216	3342	3454	3591	3732	3872	3993	4133	4271	4399	4534	4669	4816	4955	5096	5233	5349	5480	5619
2024/8/7 0:00	2667	2785	2877	2907	3031	3163	3317	3445	3558	3704	3846	3993	4114	4251	4394	4528	4662	4803	4953	5088	5229	5365	5486	5618	5760
2024/8/8 0:00	2748	2870	2963	2993	3118	3252	3411	3551	3664	3814	3954	4103	4231	4374	4510	4647	4784	4925	5078	5222	5369	5503	5625	5753	5898
2024/8/9 0:00	2836	2957	3055	3086	3216	3355	3520	3654	3772	3932	4073	4223	4355	4496	4629	4772	4904	5040	5185	5328	5479	5621	5743	5879	6027
2024/8/10 0:00	2932	3058	3159	3191	3323	3469	3636	3779	3906	4071	4217	4364	4501	4640	4777	4921	5056	5188	5334	5478	5633	5779	5899	6038	6193
2024/8/11 12:00	3185	3318	3425	3458	3603	3762	3944	4109	4251	4431	4581	4733	4884	5032	5168	5307	5434	5575	5729	5871	6034	6183	6312	6465	6620
