	265万	264万	263万	262万	2617401	261万	260万	259万	258万	257万	256万	255万	254万	253万	252万	251万	250万	249万	248万	247万	246万	245万	244万	243万	242万	241万	240万
2024/10/1 0:00	906	932	967	988	1001	1024	1048	1080	1105	1126	1164	1203	1235	1277	1314	1357	1419	1504	1577	1644	1708	1775	1845	1908	1968	2021	2080
2024/10/2 0:00	1507	1549	1606	1650	1665	1704	1747	1798	1837	1881	1934	1991	2027	2081	2137	2203	2283	2406	2527	2620	2718	2816	2924	3018	3118	3210	3299
2024/10/3 0:00	1922	1976	2054	2115	2130	2173	2230	2276	2318	2369	2422	2491	2546	2610	2674	2756	2840	2981	3114	3230	3362	3484	3602	3714	3834	3939	4033
2024/10/4 0:00	2241	2308	2393	2455	2478	2526	2588	2633	2690	2746	2810	2896	2950	3013	3087	3176	3278	3439	3583	3715	3868	4005	4132	4257	4398	4514	4610
2024/10/5 0:00	2541	2607	2688	2761	2789	2843	2908	2955	3016	3081	3155	3248	3310	3378	3464	3554	3671	3840	4006	4152	4318	4460	4580	4715	4868	4996	5108
2024/10/6 0:00	2921	3001	3092	3172	3199	3260	3331	3395	3463	3542	3638	3735	3807	3885	3964	4062	4203	4382	4551	4712	4891	5053	5195	5343	5496	5629	5757
2024/10/7 0:00	3365	3456	3560	3642	3672	3737	3818	3902	3992	4073	4179	4283	4362	4449	4532	4640	4795	4995	5176	5355	5545	5724	5877	6042	6208	6348	6502
2024/10/8 0:00	3679	3776	3885	3980	4009	4079	4176	4262	4357	4437	4535	4633	4721	4814	4908	5021	5180	5389	5575	5740	5926	6114	6283	6464	6647	6807	6966
2024/10/9 0:00	4031	4147	4265	4368	4400	4477	4587	4667	4764	4861	4958	5056	5154	5234	5328	5440	5611	5830	6046	6231	6428	6611	6799	6993	7194	7381	7552
2024/10/10 12:00	4702	4843	4973	5083	5113	5190	5297	5369	5454	5554	5644	5741	5829	5908	6013	6140	6319	6566	6805	7019	7225	7425	7646	7857	8063	8282	8474
