	180万	179万	178万	1774103	177万	176万	175万	174万	173万	172万	171万	170万	169万	168万	167万	166万	165万	164万	163万	162万	161万	160万
2024/10/31 0:00	624	746	885	1001	1100	1347	1554	1748	1914	2048	2167	2262	2346	2423	2494	2561	2628	2680	2738	2795	2870	2934
2024/11/1 0:00	795	943	1100	1234	1359	1649	1914	2145	2344	2486	2613	2738	2839	2940	3019	3096	3180	3237	3305	3376	3462	3541
2024/11/2 0:00	875	1030	1201	1351	1488	1791	2069	2319	2534	2689	2825	2957	3071	3178	3260	3333	3422	3490	3565	3635	3725	3805
2024/11/3 0:00	949	1112	1296	1463	1613	1945	2237	2516	2751	2926	3072	3216	3343	3460	3551	3632	3729	3797	3878	3951	4045	4127
2024/11/4 0:00	1027	1202	1398	1579	1738	2104	2423	2712	2966	3147	3309	3465	3604	3724	3821	3916	4017	4089	4170	4244	4334	4421
2024/11/5 0:00	1202	1393	1632	1844	2032	2450	2825	3177	3467	3699	3894	4092	4235	4374	4482	4599	4706	4802	4909	5007	5123	5224
2024/11/6 0:00	1242	1441	1683	1901	2095	2529	2910	3280	3577	3816	4012	4214	4357	4502	4618	4739	4843	4936	5039	5138	5256	5365
2024/11/7 0:00	1277	1480	1724	1949	2147	2584	2976	3359	3670	3919	4119	4321	4468	4619	4735	4858	4964	5060	5164	5266	5388	5497
2024/11/8 0:00	1307	1513	1760	1988	2188	2641	3050	3453	3776	4030	4232	4441	4588	4738	4859	4983	5084	5183	5290	5399	5519	5629
2024/11/9 0:00	1340	1549	1805	2043	2246	2702	3115	3530	3863	4122	4327	4531	4680	4828	4955	5077	5178	5271	5378	5490	5612	5723
2024/11/10 0:00	1383	1593	1858	2101	2310	2787	3217	3646	3995	4264	4476	4687	4838	4986	5113	5228	5335	5429	5541	5654	5777	5891
2024/11/11 12:00	1587	1834	2132	2419	2659	3201	3730	4215	4617	4941	5178	5373	5526	5685	5813	5933	6048	6152	6285	6413	6542	6680
