	262万	261万	260万	259万	2581450	258万	257万	256万	255万	254万	253万	252万	251万	250万	249万	248万	247万	246万	245万	244万	243万	242万	241万	240万
2024/11/30 0:00	822	864	914	967	1001	1009	1050	1097	1129	1166	1198	1228	1257	1291	1317	1356	1419	1485	1553	1623	1682	1745	1794	1847
2024/12/1 0:00	1502	1575	1661	1747	1799	1811	1891	1960	2026	2079	2148	2211	2262	2329	2386	2452	2549	2641	2740	2874	2973	3073	3161	3247
2024/12/2 0:00	1955	2056	2187	2295	2367	2381	2484	2582	2654	2733	2827	2899	2963	3050	3128	3213	3334	3450	3567	3713	3835	3944	4070	4195
2024/12/2 23:45	2214	2341	2487	2616	2707	2725	2839	2945	3046	3143	3247	3328	3395	3490	3580	3669	3813	3931	4060	4210	4338	4460	4591	4714
2024/12/4 0:00	2473	2620	2771	2910	3015	3033	3159	3271	3382	3481	3585	3674	3755	3859	3950	4049	4202	4318	4456	4620	4754	4890	5018	5154
2024/12/5 0:00	2647	2810	2977	3128	3241	3260	3398	3516	3630	3733	3849	3949	4033	4146	4248	4358	4504	4633	4785	4951	5091	5224	5358	5502
2024/12/6 0:00	2853	3031	3197	3351	3473	3494	3638	3752	3875	3986	4112	4221	4313	4427	4526	4641	4791	4923	5082	5251	5391	5532	5663	5814
2024/12/7 0:00	2993	3176	3364	3528	3653	3676	3829	3947	4079	4197	4323	4436	4547	4656	4763	4880	5034	5168	5333	5492	5636	5777	5909	6068
2024/12/8 0:00	3212	3412	3616	3802	3945	3967	4130	4261	4396	4515	4650	4757	4868	4981	5089	5211	5365	5509	5676	5844	5995	6145	6283	6440
2024/12/8 23:45	3444	3661	3873	4065	4224	4251	4428	4570	4722	4849	4972	5082	5202	5324	5428	5555	5717	5863	6035	6204	6363			
2024/12/10 0:00	3641	3872	4091	4289	4451	4479	4664	4818	4967	5097	5222	5328	5461	5587	5694	5826	6004	6158	6336	6493				
2024/12/11 0:00	3910	4147	4376	4591	4763	4795	4983	5146	5289	5424	5549	5663	5800	5925	6045	6188	6368	6524	6704	6876				
2024/12/12 12:00	4387	4653	4910	5157	5321	5350	5541	5710	5877	6026	6153	6289	6428	6570	6697	6844	7021	7192	7386	7567	7738	7920	8088	8242
