イベント曲名	スマイルファンタジー	
期間	2025/01/01 ～ 2025/01/12	
501位	442259	
2001位	396663	
#グラフ用	44.2259	0
#グラフ用	44.2259	1000
#グラフ用	39.6663	0
#グラフ用	39.6663	1000
スコア(万点)	順位	人数
	0	
49.5	2	2
49	6	4
48.5	16	10
48	33	17
47.5	71	38
47	112	41
46.5	140	28
46	201	61
45.5	253	52
45	340	87
44.5	430	90
44	547	117
43.5	636	89
43	742	106
42.5	897	155
42	1067	170
41.5	1241	174
41	1458	217
40.5	1670	212
40	1896	226
39.5	2041	145
39	2126	85
38.5	2221	95
38	2298	77
37.5	2384	86
37	2464	80
36.5	2545	81
36	2629	84
35.5	2700	71
35	2808	108
34.5	2921	113
34	3038	117
33.5	3182	144
33	3325	143
32.5	3494	169
32	3665	171
31.5	3857	192
31	4056	199
30.5	4282	226
30	4521	239
29.5	4810	289
29	5106	296
28.5	5383	277
28	5688	305
27.5	5994	306
27	6277	283
26.5	6558	281
26	6808	250
25.5	7004	196
25	7194	190
24.5	7319	125
24	7438	119
23.5	7542	104
23	7621	79
22.5	7694	73
22	7744	50
21.5	7792	48
21	7841	49
20.5	7879	38
20	7911	32
19.5	7937	26
19	7959	22
18.5	7978	19
18	7996	18
17.5	8017	21
17	8039	22
16.5	8080	41
16	8110	30
15.5	8134	24
15	8153	19
14.5	8171	18
14	8194	23
13.5	8220	26
13	8249	29
12.5	8277	28
12	8306	29
11.5	8331	25
11	8360	29
10.5	8392	32
10	8423	31
9.5	8457	34
9	8484	27
8.5	8519	35
8	8554	35
7.5	8586	32
7	8619	33
6.5	8671	52
6	8730	59
5.5	8797	67
5	8874	77
4.5	8951	77
4	9074	123
3.5	9213	139
3	9376	163
2.5	9569	193
2	9798	229
1.5	9973	175
1	10210	237
0.5	10506	296
0	10554	48
