イベント曲名	イーリャンサンキュー	
期間	2025/01/30 ～ 2025/02/08	
初日1001位	2579922	
最終5001位	2485341	
#グラフ用	257.9922	0
#グラフ用	257.9922	1000
#グラフ用	248.5341	0
#グラフ用	248.5341	1000
スコア(万点)	順位	人数
0		
341	1	1
340	2	1
339	3	1
338	4	1
337	5	1
336	5	0
335	8	3
334	20	12
333	35	15
332	37	2
331	42	5
330	47	5
329	51	4
328	58	7
327	64	6
326	67	3
325	74	7
324	79	5
323	82	3
322	88	6
321	96	8
320	102	6
319	105	3
318	114	9
317	120	6
316	131	11
315	141	10
314	153	12
313	176	23
312	192	16
311	203	11
310	224	21
309	239	15
308	256	17
307	269	13
306	285	16
305	306	21
304	326	20
303	351	25
302	378	27
301	397	19
300	423	26
299	445	22
298	472	27
297	492	20
296	525	33
295	541	16
294	572	31
293	600	28
292	635	35
291	661	26
290	698	37
289	749	51
288	790	41
287	834	44
286	876	42
285	925	49
284	982	57
283	1031	49
282	1094	63
281	1164	70
280	1224	60
279	1293	69
278	1375	82
277	1450	75
276	1537	87
275	1613	76
274	1697	84
273	1779	82
272	1886	107
271	1988	102
270	2089	101
269	2193	104
268	2309	116
267	2413	104
266	2530	117
265	2676	146
264	2818	142
263	2939	121
262	3079	140
261	3212	133
260	3363	151
259	3500	137
258	3632	132
257	3757	125
256	3905	148
255	4050	145
254	4191	141
253	4354	163
252	4512	158
251	4675	163
250	4816	141
249	4939	123
248	5060	121
247	5195	135
246	5333	138
245	5447	114
244	5591	144
243	5713	122
242	5861	148
241	6021	160
240	6173	152
239	6308	135
238	6461	153
237	6614	153
236	6753	139
235	6889	136
234	7035	146
233	7165	130
232	7318	153
231	7460	142
230	7613	153
229	7737	124
228	7863	126
227	8002	139
226	8152	150
225	8289	137
224	8428	139
223	8551	123
222	8686	135
221	8818	132
220	8955	137
219	9093	138
218	9231	138
217	9349	118
216	9508	159
215	9635	127
214	9764	129
213	9898	134
212	10032	134
211	10162	130
210	10304	142
