イベント曲名	スターライトステージ	
期間	2025/02/27 ～ 2025/03/07	
初日1001位	2465885	
最終5001位	2472611	
#グラフ用	246.5885	0
#グラフ用	246.5885	1000
#グラフ用	247.2611	0
#グラフ用	247.2611	1000
スコア(万点)	順位	人数
0		
289	3	3
288	6	3
287	10	4
286	13	3
285	14	1
284	15	1
283	17	2
282	22	5
281	26	4
280	30	4
279	41	11
278	54	13
277	102	48
276	178	76
275	252	74
274	353	101
273	438	85
272	509	71
271	588	79
270	643	55
269	688	45
268	722	34
267	762	40
266	799	37
265	853	54
264	900	47
263	948	48
262	999	51
261	1044	45
260	1083	39
259	1122	39
258	1153	31
257	1183	30
256	1226	43
255	1311	85
254	1490	179
253	1821	331
252	2325	504
251	2930	605
250	3640	710
249	4247	607
248	4739	492
247	5079	340
246	5337	258
245	5569	232
244	5767	198
243	5942	175
242	6104	162
241	6266	162
240	6412	146
239	6551	139
238	6687	136
237	6822	135
236	6933	111
235	7061	128
234	7189	128
233	7303	114
232	7434	131
231	7524	90
230	7620	96
229	7718	98
228	7829	111
227	7951	122
226	8064	113
225	8158	94
224	8254	96
223	8349	95
222	8443	94
221	8525	82
220	8635	110
219	8715	80
218	8830	115
217	8954	124
216	9065	111
215	9174	109
214	9296	122
213	9406	110
212	9539	133
211	9657	118
210	9797	140
209	9921	124
208	10052	131
207	10196	144
206	10322	126
205	10430	108
204	10554	124
203	10694	140
202	10813	119
201	10932	119
200	11077	145
