イベント曲名	禍魂朧夜	
期間	2025/03/28 ～ 2025/04/06	
初日1001位	2435363	
最終5001位	2365720	
#グラフ用	243.5363	0
#グラフ用	243.5363	1000
#グラフ用	236.572	0
#グラフ用	236.572	1000
スコア(万点)	順位	人数
0		
373	1	1
372	1	0
371	1	0
370	2	1
369	3	1
368	3	0
367	3	0
366	3	0
365	3	0
364	3	0
363	4	1
362	4	0
361	4	0
360	4	0
359	4	0
358	4	0
357	4	0
356	6	2
355	6	0
354	7	1
353	7	0
352	7	0
351	10	3
350	10	0
349	10	0
348	11	1
347	11	0
346	12	1
345	13	1
344	13	0
343	13	0
342	14	1
341	15	1
340	15	0
339	15	0
338	15	0
337	15	0
336	16	1
335	19	3
334	19	0
333	20	1
332	20	0
331	20	0
330	20	0
329	20	0
328	20	0
327	21	1
326	21	0
325	23	2
324	29	6
323	42	13
322	49	7
321	56	7
320	60	4
319	64	4
318	67	3
317	77	10
316	86	9
315	92	6
314	97	5
313	105	8
312	109	4
311	111	2
310	123	12
309	127	4
308	139	12
307	144	5
306	153	9
305	163	10
304	181	18
303	204	23
302	225	21
301	244	19
300	263	19
299	290	27
298	314	24
297	339	25
296	371	32
295	401	30
294	428	27
293	451	23
292	469	18
291	510	41
290	538	28
289	572	34
288	614	42
287	655	41
286	692	37
285	736	44
284	778	42
283	820	42
282	859	39
281	914	55
280	975	61
279	1028	53
278	1091	63
277	1139	48
276	1201	62
275	1255	54
274	1326	71
273	1401	75
272	1455	54
271	1506	51
270	1574	68
269	1632	58
268	1702	70
267	1763	61
266	1843	80
265	1934	91
264	2019	85
263	2111	92
262	2180	69
261	2279	99
260	2353	74
259	2433	80
258	2530	97
257	2631	101
256	2734	103
255	2840	106
254	2947	107
253	3068	121
252	3187	119
251	3293	106
250	3406	113
249	3520	114
248	3632	112
247	3760	128
246	3890	130
245	4010	120
244	4139	129
243	4259	120
242	4386	127
241	4500	114
240	4604	104
239	4721	117
238	4830	109
237	4949	119
236	5049	100
235	5149	100
234	5245	96
233	5334	89
232	5418	84
231	5512	94
230	5576	64
229	5650	74
228	5730	80
227	5808	78
226	5907	99
225	5969	62
224	6061	92
223	6152	91
222	6228	76
221	6309	81
220	6409	100
219	6521	112
218	6621	100
217	6715	94
216	6791	76
215	6876	85
214	6975	99
213	7065	90
212	7152	87
211	7255	103
210	7343	88
209	7433	90
208	7529	96
207	7631	102
206	7732	101
205	7832	100
204	7914	82
203	8019	105
202	8104	85
201	8198	94
200	8292	94
199	8371	79
198	8475	104
197	8566	91
196	8651	85
195	8746	95
194	8842	96
193	8956	114
192	9049	93
191	9152	103
190	9250	98
189	9347	97
188	9446	99
187	9528	82
186	9639	111
185	9729	90
184	9836	107
183	9946	110
182	10055	109
181	10170	115
180	10271	101
