イベント曲名	オトメゴコロ更新中	
期間	2025/05/29 ～ 2025/06/07	
初日1001位	2667721	
最終5001位	2656854	
#グラフ用	266.7721	0
#グラフ用	266.7721	1000
#グラフ用	265.6854	0
#グラフ用	265.6854	1000
スコア(万点)	順位	人数
0		
324	2	2
323	5	3
322	12	7
321	13	1
320	16	3
319	22	6
318	26	4
317	28	2
316	28	0
315	28	0
314	29	1
313	29	0
312	32	3
311	37	5
310	68	31
309	164	96
308	267	103
307	391	124
306	494	103
305	583	89
304	635	52
303	668	33
302	737	69
301	812	75
300	900	88
299	965	65
298	1045	80
297	1118	73
296	1181	63
295	1237	56
294	1301	64
293	1363	62
292	1430	67
291	1500	70
290	1559	59
289	1627	68
288	1703	76
287	1753	50
286	1822	69
285	1895	73
284	1958	63
283	2030	72
282	2097	67
281	2157	60
280	2249	92
279	2358	109
278	2539	181
277	2789	250
276	3035	246
275	3255	220
274	3471	216
273	3648	177
272	3859	211
271	4081	222
270	4309	228
269	4482	173
268	4637	155
267	4811	174
266	4959	148
265	5111	152
264	5237	126
263	5384	147
262	5514	130
261	5664	150
260	5785	121
259	5902	117
258	6011	109
257	6135	124
256	6257	122
255	6374	117
254	6476	102
253	6571	95
252	6688	117
251	6818	130
250	6971	153
249	7198	227
248	7431	233
247	7668	237
246	7823	155
245	7996	173
244	8185	189
243	8361	176
242	8513	152
241	8669	156
240	8819	150
239	8977	158
238	9134	157
237	9270	136
236	9411	141
235	9547	136
234	9656	109
233	9789	133
232	9916	127
231	10031	115
230	10133	102
