イベント曲名	熱情エナモラル	
期間	2025/06/27 ～ 2025/07/06	
初日1001位	2450141	
最終5001位	2368862	
#グラフ用	245.0141	0
#グラフ用	245.0141	1000
#グラフ用	236.8862	0
#グラフ用	236.8862	1000
スコア(万点)	順位	人数
0		
341	1	1
340	3	2
339	3	0
338	3	0
337	5	2
336	7	2
335	9	2
334	11	2
333	14	3
332	18	4
331	28	10
330	33	5
329	34	1
328	37	3
327	41	4
326	45	4
325	55	10
324	58	3
323	59	1
322	64	5
321	69	5
320	73	4
319	75	2
318	84	9
317	87	3
316	93	6
315	99	6
314	106	7
313	111	5
312	117	6
311	123	6
310	128	5
309	137	9
308	149	12
307	154	5
306	160	6
305	169	9
304	182	13
303	197	15
302	213	16
301	220	7
300	240	20
299	261	21
298	270	9
297	290	20
296	314	24
295	334	20
294	354	20
293	387	33
292	414	27
291	436	22
290	458	22
289	492	34
288	512	20
287	541	29
286	563	22
285	599	36
284	632	33
283	666	34
282	705	39
281	762	57
280	819	57
279	854	35
278	905	51
277	957	52
276	993	36
275	1048	55
274	1098	50
273	1166	68
272	1226	60
271	1285	59
270	1357	72
269	1422	65
268	1487	65
267	1553	66
266	1656	103
265	1742	86
264	1830	88
263	1930	100
262	2016	86
261	2117	101
260	2203	86
259	2293	90
258	2393	100
257	2502	109
256	2624	122
255	2727	103
254	2854	127
253	2966	112
252	3078	112
251	3216	138
250	3327	111
249	3420	93
248	3527	107
247	3659	132
246	3782	123
245	3909	127
244	4020	111
243	4148	128
242	4304	156
241	4438	134
240	4560	122
239	4705	145
238	4841	136
237	4980	139
236	5101	121
235	5227	126
234	5339	112
233	5430	91
232	5548	118
231	5664	116
230	5762	98
229	5857	95
228	5955	98
227	6063	108
226	6144	81
225	6250	106
224	6330	80
223	6437	107
222	6532	95
221	6626	94
220	6734	108
219	6838	104
218	6941	103
217	7042	101
216	7154	112
215	7250	96
214	7344	94
213	7442	98
212	7564	122
211	7652	88
210	7765	113
209	7890	125
208	8010	120
207	8117	107
206	8222	105
205	8341	119
204	8455	114
203	8554	99
202	8652	98
201	8766	114
200	8899	133
199	9016	117
198	9114	98
197	9214	100
196	9336	122
195	9445	109
194	9541	96
193	9655	114
192	9753	98
191	9858	105
190	9963	105
189	10088	125
188	10200	112
187	10300	100
186	10408	108
185	10513	105
184	10633	120
183	10742	109
182	10854	112
181	10961	107
180	11061	100
