イベント曲名	がおちゅー♪さふぁりぱーく！	
期間	2025/07/28 ～ 2025/08/09	
初日1001位	2574737	
最終5001位	2589694	
#グラフ用	257.4737	0
#グラフ用	257.4737	1000
#グラフ用	258.9694	0
#グラフ用	258.9694	1000
スコア(万点)	順位	人数
0		
346	2	2
345	3	1
344	3	0
343	3	0
342	5	2
341	6	1
340	6	0
339	6	0
338	7	1
337	7	0
336	7	0
335	9	2
334	12	3
333	14	2
332	19	5
331	29	10
330	59	30
329	80	21
328	100	20
327	113	13
326	129	16
325	139	10
324	146	7
323	157	11
322	167	10
321	179	12
320	189	10
319	206	17
318	224	18
317	257	33
316	285	28
315	318	33
314	341	23
313	367	26
312	387	20
311	405	18
310	419	14
309	432	13
308	457	25
307	486	29
306	513	27
305	541	28
304	573	32
303	609	36
302	638	29
301	672	34
300	703	31
299	727	24
298	770	43
297	805	35
296	827	22
295	852	25
294	883	31
293	913	30
292	940	27
291	997	57
290	1074	77
289	1150	76
288	1235	85
287	1295	60
286	1358	63
285	1428	70
284	1507	79
283	1578	71
282	1678	100
281	1773	95
280	1926	153
279	2081	155
278	2198	117
277	2294	96
276	2387	93
275	2487	100
274	2602	115
273	2715	113
272	2837	122
271	2959	122
270	3073	114
269	3192	119
268	3285	93
267	3411	126
266	3583	172
265	3788	205
264	4003	215
263	4196	193
262	4439	243
261	4636	197
260	4810	174
259	4997	187
258	5150	153
257	5316	166
256	5450	134
255	5589	139
254	5725	136
253	5854	129
252	5947	93
251	6072	125
250	6189	117
249	6290	101
248	6402	112
247	6490	88
246	6567	77
245	6662	95
244	6749	87
243	6822	73
242	6903	81
241	6990	87
240	7075	85
239	7163	88
238	7236	73
237	7329	93
236	7412	83
235	7477	65
234	7539	62
233	7608	69
232	7676	68
231	7745	69
230	7823	78
229	7900	77
228	7979	79
227	8068	89
226	8165	97
225	8264	99
224	8364	100
223	8459	95
222	8561	102
221	8660	99
220	8766	106
219	8885	119
218	9000	115
217	9131	131
216	9242	111
215	9360	118
214	9468	108
213	9605	137
212	9731	126
211	9853	122
210	9978	125
209	10091	113
208	10187	96
207	10310	123
206	10408	98
205	10511	103
204	10632	121
203	10731	99
202	10833	102
201	10939	106
200	11057	118
