	260万	259万	258万	2579922	257万	256万	255万	254万	253万	252万	251万	250万	249万	248万	247万	246万	245万	244万	243万	242万	241万	240万
2025/1/31 0:00	910	951	1000	1001	1035	1070	1111	1161	1212	1261	1319	1360	1414	1468	1530	1592	1649	1709	1784	1849	1910	1981
2025/2/1 0:00	1487	1549	1618	1619	1670	1740	1802	1888	1968	2028	2113	2185	2262	2346	2435	2530	2612	2697	2805	2908	3008	3112
2025/2/2 0:00	1863	1939	2027	2029	2105	2194	2278	2380	2469	2554	2647	2737	2834	2928	3030	3134	3234	3344	3467	3588	3711	3834
2025/2/3 0:00	2220	2313	2400	2402	2492	2595	2697	2808	2904	3005	3118	3221	3322	3424	3536	3646	3754	3888	4017	4150	4294	4419
2025/2/4 0:00	2433	2536	2625	2627	2731	2841	2954	3065	3177	3288	3418	3524	3625	3730	3849	3963	4073	4205	4341	4472	4615	4739
2025/2/5 0:00	2624	2727	2822	2824	2934	3040	3158	3273	3386	3509	3644	3756	3858	3972	4104	4222	4325	4464	4597	4738	4886	5014
2025/2/6 0:00	2744	2848	2949	2952	3063	3182	3311	3427	3544	3669	3812	3928	4036	4160	4291	4413	4516	4653	4786	4929	5084	5224
2025/2/7 0:00	2897	3003	3114	3116	3231	3349	3474	3596	3717	3851	3987	4107	4223	4343	4480	4612	4723	4864	5000	5135	5287	5422
2025/2/8 0:00	3024	3144	3265	3267	3384	3508	3637	3766	3895	4032	4172	4294	4411	4534	4672	4810	4928	5068	5199	5346	5499	5639
2025/2/9 12:00	3363	3500	3632	3634	3757	3905	4050	4191	4354	4512	4675	4816	4939	5060	5195	5333	5447	5591	5713	5861	6021	6173
