	250万	249万	248万	247万	246万	245万	244万	2435363	243万	242万	241万	240万	239万	238万	237万	236万	235万	234万	233万	232万	231万	230万	229万	228万	227万	226万	225万
2025/3/29 0:00	810	838	865	897	932	957	991	1001	1015	1056	1082	1118	1138	1171	1204	1233	1263	1290	1322	1349	1382	1413	1444	1463	1484	1520	1551
2025/3/30 0:00	1486	1548	1602	1653	1707	1758	1817	1840	1873	1944	2006	2072	2120	2179	2232	2283	2348	2388	2441	2491	2540	2580	2630	2680	2727	2782	2832
2025/3/31 0:00	1891	1969	2037	2102	2167	2225	2285	2324	2364	2447	2517	2594	2652	2727	2795	2869	2940	2998	3071	3133	3201	3252	3306	3362	3416	3482	3535
2025/4/1 0:00	2120	2196	2268	2339	2415	2494	2564	2604	2648	2735	2809	2888	2958	3030	3106	3190	3270	3343	3427	3499	3569	3630	3690	3742	3800	3869	3930
2025/4/2 0:00	2333	2414	2490	2563	2642	2722	2802	2844	2888	2979	3059	3141	3214	3285	3366	3451	3540	3615	3692	3767	3844	3906	3968	4026	4087	4161	4224
2025/4/3 0:00	2511	2600	2683	2771	2850	2935	3021	3066	3112	3199	3288	3372	3448	3529	3617	3702	3787	3865	3935	4009	4087	4145	4205	4263	4330	4411	4482
2025/4/4 0:00	2667	2761	2847	2941	3031	3119	3209	3255	3298	3391	3488	3573	3654	3740	3833	3918	4011	4087	4164	4236	4321	4380	4440	4502	4565	4644	4716
2025/4/5 0:00	2769	2862	2956	3054	3152	3246	3344	3391	3438	3532	3625	3711	3797	3886	3981	4071	4165	4244	4324	4404	4492	4550	4617	4688	4754	4834	4899
2025/4/6 0:00	2979	3079	3182	3292	3399	3503	3611	3654	3710	3817	3913	4001	4108	4207	4313	4402	4499	4589	4671	4750	4838	4901	4966	5038	5109	5194	5253
2025/4/7 12:00	3406	3520	3632	3760	3890	4010	4139	4196	4259	4386	4500	4604	4721	4830	4949	5049	5149	5245	5334	5418	5512	5576	5650	5730	5808	5907	5969
