	272万	271万	270万	269万	268万	267万	2667721	266万	265万	264万	263万	262万	261万	260万	259万	258万	257万	256万	255万	254万	253万	252万	251万	250万
2025/5/30 0:00	790	826	869	911	950	987	1001	1025	1078	1123	1178	1224	1265	1303	1343	1384	1420	1458	1511	1556	1593	1627	1672	1719
2025/5/31 0:00	1275	1348	1414	1475	1535	1595	1615	1650	1721	1781	1853	1915	1983	2036	2092	2152	2217	2283	2347	2412	2477	2541	2611	2689
2025/6/1 0:00	1774	1877	1973	2044	2126	2221	2242	2295	2379	2453	2538	2612	2703	2781	2853	2929	3017	3096	3164	3235	3314	3395	3486	3579
2025/6/2 0:00	2187	2298	2408	2494	2586	2686	2712	2772	2879	2976	3075	3165	3268	3351	3440	3520	3611	3694	3776	3857	3934	4019	4126	4232
2025/6/3 0:00	2413	2543	2674	2772	2867	2981	3005	3075	3203	3295	3399	3496	3597	3689	3783	3877	3982	4077	4168	4242	4327	4425	4527	4640
2025/6/3 16:15	2499	2637	2771	2872	2970	3089	3114	3183	3315	3409	3515	3615	3728	3823	3920	4021	4128	4223	4320	4395	4479	4578	4682	4795
2025/6/4 0:00	2604	2755	2897	3007	3107	3232	3255	3329	3464	3561	3676	3781	3895	3992	4090	4190	4297	4397	4494	4568	4652	4748	4854	4968
2025/6/4 10:30	2651	2808	2954	3067	3169	3296	3319	3394	3531	3629	3748	3856	3970	4068	4166	4266	4373	4475	4572	4646	4729	4824	4931	5046
2025/6/5 0:00	2797	2952	3098	3215	3319	3454	3476	3555	3693	3794	3917	4030	4151	4258	4365	4468	4573	4681	4783	4864	4940	5041	5149	5269
2025/6/6 0:00	2991	3151	3309	3426	3533	3678	3702	3788	3936	4044	4181	4295	4425	4544	4649	4756	4868	4981	5079	5166	5238	5336	5447	5567
2025/6/7 12:00	3859	4081	4309	4482	4637	4811	4841	4959	5111	5237	5384	5514	5664	5785	5902	6011	6135	6257	6374	6476	6571	6688	6818	6971
