	260万	259万	258万	257万	256万	255万	254万	253万	252万	251万	250万	249万	248万	247万	246万	2450141	245万	244万	243万	242万	241万	240万	239万	238万	237万	236万	235万	234万	233万	232万	231万	230万
2025/6/28 0:00	546	563	596	621	647	677	707	750	780	822	856	882	909	940	965	1001	1002	1032	1073	1114	1159	1198	1240	1277	1307	1340	1383	1427	1469	1510	1549	1591
2025/6/29 0:00	955	987	1041	1092	1150	1207	1263	1322	1371	1438	1496	1540	1582	1639	1688	1753	1754	1801	1866	1931	1995	2060	2132	2199	2272	2350	2414	2481	2546	2630	2695	2762
2025/6/30 0:00	1204	1256	1322	1381	1460	1525	1589	1650	1706	1791	1866	1916	1981	2051	2114	2190	2191	2255	2338	2416	2493	2573	2658	2750	2840	2926	3007	3089	3159	3269	3356	3434
2025/7/1 0:00	1363	1424	1493	1561	1648	1714	1790	1864	1929	2022	2097	2154	2218	2295	2378	2462	2463	2541	2638	2739	2827	2914	3015	3115	3211	3305	3394	3476	3567	3683	3778	3864
2025/7/2 0:00	1512	1579	1651	1733	1838	1906	1984	2060	2128	2223	2309	2373	2442	2522	2608	2697	2698	2779	2876	2982	3081	3175	3289	3395	3490	3586	3683	3767	3856	3978	4076	4172
2025/7/3 0:00	1640	1710	1787	1872	1980	2049	2135	2217	2291	2390	2475	2550	2627	2727	2806	2891	2892	2977	3085	3195	3304	3396	3514	3630	3732	3836	3942	4042	4137	4257	4357	4451
2025/7/4 0:00	1735	1803	1884	1975	2087	2160	2248	2334	2411	2517	2607	2689	2775	2873	2958	3053	3054	3142	3247	3360	3479	3576	3695	3818	3925	4033	4144	4246	4337	4454	4560	4656
2025/7/5 0:00	1846	1920	2001	2097	2209	2287	2379	2466	2550	2662	2753	2838	2934	3038	3133	3233	3234	3327	3436	3560	3667	3768	3887	4010	4119	4233	4351	4460	4549	4656	4770	4862
2025/7/6 0:00	1984	2064	2151	2250	2361	2445	2554	2646	2737	2855	2950	3035	3135	3244	3344	3455	3456	3556	3671	3804	3927	4033	4156	4281	4396	4518	4636	4751	4845	4957	5074	5164
2025/7/7 12:00	2203	2293	2393	2502	2624	2727	2854	2966	3078	3216	3327	3420	3527	3659	3782	3908	3909	4020	4148	4304	4438	4560	4705	4841	4980	5101	5227	5339	5430	5548	5664	5762
