	262万	261万	260万	259万	258万	2574737	257万	256万	255万	254万	253万	252万	251万	250万	249万	248万	247万	246万	245万	244万	243万	242万	241万	240万	239万	238万	237万	236万	235万
2025/7/29 0:00	848	880	920	956	986	1001	1031	1061	1094	1120	1143	1170	1196	1217	1229	1250	1267	1286	1308	1327	1339	1354	1376	1394	1421	1437	1456	1473	1494
2025/7/30 0:00	1403	1469	1530	1597	1646	1684	1724	1772	1822	1876	1923	1967	2016	2059	2086	2129	2164	2200	2238	2267	2302	2330	2359	2388	2427	2457	2490	2524	2551
2025/7/31 0:00	1746	1829	1909	1991	2058	2107	2157	2216	2276	2341	2404	2460	2515	2581	2627	2685	2722	2759	2804	2832	2868	2903	2941	2986	3029	3063	3109	3149	3184
2025/8/1 0:00	2023	2116	2203	2295	2376	2428	2476	2547	2626	2702	2766	2822	2887	2966	3025	3084	3126	3170	3219	3260	3303	3340	3381	3436	3489	3531	3582	3621	3663
2025/8/2 0:00	2218	2329	2419	2519	2597	2654	2703	2784	2873	2964	3035	3095	3175	3260	3323	3389	3440	3492	3547	3591	3646	3688	3741	3786	3849	3899	3958	4005	4049
2025/8/3 0:00	2523	2652	2743	2854	2947	3012	3063	3154	3252	3351	3439	3505	3591	3672	3738	3812	3868	3926	3988	4043	4106	4159	4212	4263	4324	4376	4441	4500	4548
2025/8/4 0:00	2804	2941	3045	3159	3264	3330	3386	3486	3596	3702	3799	3873	3964	4045	4116	4194	4265	4324	4394	4461	4525	4586	4650	4709	4768	4824	4890	4949	5000
2025/8/5 0:00	3013	3149	3264	3388	3499	3567	3629	3736	3846	3953	4065	4139	4236	4323	4399	4484	4552	4616	4687	4761	4814	4878	4945	5004	5067	5119	5187	5252	5302
2025/8/6 0:00	3193	3337	3458	3589	3703	3773	3835	3947	4065	4178	4291	4364	4465	4553	4626	4717	4791	4855	4929	4998	5055	5128	5199	5266	5331	5379	5447	5513	5569
2025/8/7 0:00	3341	3487	3620	3765	3882	3953	4016	4126	4254	4366	4480	4559	4664	4750	4828	4919	4999	5069	5141	5218	5275	5350	5426	5490	5563	5613	5685	5753	5808
2025/8/8 0:00	3506	3657	3800	3958	4085	4155	4220	4341	4472	4587	4706	4793	4897	4997	5077	5175	5251	5324	5403	5479	5536	5613	5689	5752	5831	5884	5962	6031	6087
2025/8/9 0:00	3740	3905	4058	4234	4370	4450	4520	4643	4773	4903	5022	5111	5219	5324	5399	5497	5576	5647	5730	5813	5874	5954	6040	6106	6185	6247	6333	6403	6460
2025/8/10 12:00	4439	4636	4810	4997	5150	5242	5316	5450	5589	5725	5854	5947	6072	6189	6290	6402	6490	6567	6662	6749	6822	6903	6990	7075	7163	7236	7329	7412	7477
